,Etiqueta,MAV,MAV1,MAV2,LogDet,MedAV,VAR,MADV,ZC
0,1.0,8.004293293856717,6.229123098901173,5.8946565122827055,5.276732915524987,6.992715253374128,42.5737570639285,3.148751139996817,64
1,1.0,11.890240742859307,8.630566864810076,8.537069794993318,7.186404837324711,9.15817981310123,105.21978683514764,3.3303514343969844,52
2,1.0,15.327571870870456,13.155910516033686,13.177526250195255,10.3700344549371,12.847124562106302,123.04263008570474,4.831103330754021,42
3,1.0,9.888679445890423,8.039649636330914,8.156550329535637,6.376972251040231,8.261642174823644,56.26244985748899,4.810803064062019,74
4,1.0,33.710005279989794,25.092968475577727,26.144463909217666,20.43285412894884,25.286978964882373,820.875389652191,12.478441710790573,52
5,1.0,36.65933200621286,26.834798098645077,27.348701123276843,27.749873873691758,35.21765624315543,478.49830289243675,10.589364730576396,29
6,1.0,19.372289600835497,14.310470739131274,13.323941332303711,12.563809940688762,15.953324178354624,207.93258884413459,9.510155536538456,66
7,1.0,9.124763353399857,6.761684195434973,6.597507732603051,6.065714516506692,8.033880127921849,45.21423083235798,4.16311578146664,64
8,1.0,7.858030027931293,6.082912637480555,5.752550680754794,4.991350790607905,6.455406947198927,42.20557104118871,3.2220430895372574,26
9,1.0,5.954180041792879,4.421834915528251,4.193834629039482,3.8282846875465584,4.908438321985602,25.785581814460546,3.50590786559707,88
10,1.0,6.544491571263221,4.763943788117323,4.890687299501557,4.287059195400391,5.44559426868477,24.984156689260683,3.811687891726469,80
11,1.0,12.188178255442883,9.168391615161255,9.02030786858482,8.09254089247225,10.043945078274925,89.08406132239394,6.433770261097605,80
12,1.0,14.495641831765761,10.987440331831554,10.967802656217925,9.798552415129315,12.320514930347615,114.66139882202377,7.778770370216715,70
13,1.0,6.423974030072458,4.512982372369723,4.042836577574495,3.9766041277253135,5.135236197651569,27.09111708226015,3.1831938601886147,76
14,1.0,8.952350740926788,6.489384173396578,6.302511046289899,5.691231801931866,7.660527084090843,49.01467564385601,3.7294408128999468,72
15,1.0,9.24104722559752,6.837280796043353,6.537331055183427,6.1966326191542,8.24083084906494,45.30986393030445,5.05102365270512,76
16,1.0,12.192493577489284,9.566240442405121,9.720219322332731,7.750595798012557,9.740838225063605,94.18747805417036,5.796472838996538,62
17,1.0,19.337525423054284,14.865669943552168,14.588476025361077,13.540586686657605,17.23978776554914,183.3532606800062,10.040565779277403,56
18,1.0,16.574916335053086,12.547647550695944,12.490297412801295,11.30914170697616,15.09150032490088,135.20740706106963,9.31175079610449,66
19,1.0,77.51755480892298,60.003177909236186,66.39221556626438,52.629115550705414,63.533555350638,4219.107569443437,14.62241952409779,24
20,1.0,8.166500564890635,6.237641903479176,6.3640166447408335,5.658808751519449,7.213084863579675,31.681492216369076,4.501214732345279,74
21,1.0,15.696925655424554,12.156149228458103,11.833693081565999,10.043230428193354,11.776957438891259,152.16926331470458,4.4573675940844435,44
22,1.0,23.846884271782653,16.961419178233896,17.355889072705068,18.2966453446308,20.77033226014313,259.91988073420464,4.154627165023952,10
23,1.0,6.545671327473727,4.9316472108492135,4.8076355009511875,4.318636582029331,5.749238604730213,24.427626035706158,3.7331217097487186,74
24,1.0,9.616509609448304,7.276434318604765,6.814476541747141,5.905503166376747,7.384865759272178,69.78589381339518,3.8979365872109244,62
