valorAbsMedio,frecMedia,Frecuencia_en_PSDMAX,FHist2,FHist3,FHist8,Decil 1,Decil 5,AH0,AH1,AH9,Etiqueta
0.004525543980012915,0.5663359801540465,0.10948171362682199,0.4092211026145033,0.5089888924309478,0.3066289862596143,0.9942490532608842,0.5201044555889842,0.3374320629235134,0.32835523742165185,0.02411735719124103,2
0.0038108589461985113,0.6170181330139526,0.11932106763410213,0.2542780827281118,0.7282764596145435,0.5039405120474287,0.9918096832532322,0.5132921744587989,0.40132782587905097,0.4553141921419263,0.06250286863300718,5
0.009319637402487976,0.25367017930513036,0.08321576003563827,0.5038220857396386,0.2567571846451474,0.0635789431030026,0.9806224275749819,0.5051810094807668,0.14925582303262877,0.1817077829283746,0.15820261492811968,1
0.00976101041130896,0.3499243830969794,0.10265440676462764,0.63924182362909,0.25724614525001316,0.08695219083108417,0.9918258694758326,0.5129377191733996,0.10733663713776043,0.16394948560475123,0.036893495508972425,3
0.009723954703902256,0.34235207299885106,0.06999404691034644,0.16946723509508013,0.29743020923246505,0.08034708862380441,0.9855009852645134,0.5080820270759787,0.29724246802962845,0.3806207634800284,0.0848102652709481,2
0.011120170432850802,0.3640246287778094,0.08321576003563827,0.18995943592840758,0.35448427164247953,0.1393172146893058,0.9611631844084993,0.5181026916050124,0.10907167970151634,0.04996942021761189,0.06435243164762437,2
0.011588866014828388,0.34268501817385777,0.25466554472108105,0.15317642569103737,0.37148404659813883,0.252428498011097,0.9854514644459283,0.5176543630717487,0.2019097835982947,0.24520049110322584,0.10623949159826662,5
0.008601375343137003,0.45874079393013856,0.09007375142305601,0.37349761663896663,0.3282502221884616,0.22289205471251636,0.9932266829480955,0.5083479558701518,0.20063453303106515,0.1096482293578324,0.1912478927797512,4
0.0006532210428424586,0.8113673734972777,0.056712642077942715,0.2958530558674476,0.45027967726479096,0.5532576356652763,0.9389243449451368,0.49648358789492525,0.0789544269167806,0.11268686555812432,0.0069799432254425125,1
0.025362026423507267,0.3941353609351759,0.18458208911096,0.13244490606113565,0.3561057558079039,0.018809749255340364,0.9780108493747109,0.5144133398184896,0.10817608657116635,0.06939021466876308,0.03331692666163139,3
0.04823600407937935,0.25482525520776056,0.05532249461685862,0.22959049280986335,0.3198500396279563,0.08059191883991387,0.989928475014253,0.5084354031837411,0.24068128691448684,0.5161312966754519,0.10845708723098829,4
