valorAbsMedio,valorMediaDiferenciaAbs,frecMedia,Frecuencia_en_PSDMAX,PSD_max,FHist2,FHist3,FHist6,FHist8,Decil 1,Decil 5,AH0,AH4,AH5,AH6,Etiqueta
0.009800807420132628,0.041311930353519405,0.4888984797953446,0.14601644457045657,0.0012115529015028232,0.19653709903972255,0.3669506547938996,0.37371674558102436,0.14727231476327424,0.9716106069338355,0.4397086455668179,0.02529649360141231,0.3685575237288919,0.16259265447190654,0.0176601477800009,3
0.018505349333652766,0.010006648143968531,0.10771030243765423,0.18289927896167765,0.0007643839855053044,0.06779523096228247,0.13049506428799407,0.08475349541107877,0.0057309272487180915,0.9622270245739997,0.4227184948415251,0.24601022644687773,0.31976773365165634,0.20704090036428882,0.16932981481784634,1
0.02203089580386625,0.06726085341503747,0.29329267852402935,0.203459284621771,0.00557796354607425,0.23121500767672568,0.3315374412410203,0.33753866257491916,0.02799428645382827,0.9342302878114657,0.46061124619154037,0.027308157595028606,0.11003584929261132,0.2308750512887172,0.26955080244981955,1
0.02876698791481416,0.10133335595566619,0.4355707624367896,0.1550786920375615,0.03778621229403433,0.8765474633386726,0.3433482831978399,0.09220258898669464,0.07293501806249246,0.9225428617545328,0.44994818297785805,0.03613684552799091,0.23184741103483497,0.2615642010282178,0.22984151199156347,5
0.021444798991762118,0.05305708279932385,0.23320877257494432,0.1575553123694354,0.005517028943308731,0.1867697150011988,0.30356324844090504,0.17560139047969123,0.014124699229650402,0.8995652605375671,0.5056373253575562,0.03823774010965446,0.20923226211306226,0.27236737287527857,0.09813101366974446,1
0.019665467643273205,0.059277701550056,0.33374646291098115,0.1550786920375615,0.006176234513768275,0.3343002839510683,0.4451080688623836,0.22730478166737816,0.07568112932257011,0.9765985164721369,0.4320143761044157,0.026351025056462855,0.25033691640321953,0.12192604900285922,0.04482564116612305,5
0.02570487986179836,0.040152415161331306,0.16999303610261768,0.17480240711302544,0.00331215638661817,0.08426578992319375,0.17901771880401146,0.11928137458972289,0.0577280613069576,0.9699906087056037,0.42330270183650587,0.19384115535665591,0.37553845523643065,0.6076564223126004,0.6018211604419472,1
0.0305978502184631,0.06434222721553375,0.24579676064031825,0.18377979312270956,0.021801908494094586,0.30046079661334807,0.41999953903478426,0.053242580115746674,0.12246127362162891,0.976452391026536,0.44122436516271085,0.19867624875925155,0.39830302387995314,0.35804242587316554,0.2485782459613164,4
0.04144623071953726,0.1013355439166951,0.23176405791596455,0.10506182712646364,0.005260640305839793,0.10721390192164915,0.26395401505790456,0.137488040698332,0.18576149325107613,0.9616690570055112,0.4667948026750172,0.14457806023810388,0.2811632815082234,0.2702459881082246,0.19699764542058176,3
0.009670355216732665,0.028662868111845555,0.3814094982342579,0.21424983726395305,0.0013377545983824838,0.2458655152169732,0.3593070202853179,0.3526408178031687,0.07378474666003622,0.9756017832163628,0.4433692641470517,0.018019928613176455,0.5338054765489052,0.17081303169126594,0.011541703263125577,4
0.02739595147591226,0.08154553448674966,0.27378383552041724,0.14362834737965793,0.007663654167651799,0.2282131918723553,0.3220335523843004,0.1939386105935747,0.06640753228288894,0.9802589313985683,0.44016815165209766,0.5154164233069888,0.43357074558175984,0.38372147959503644,0.1819342117205016,2
0.11347185715277075,0.04494383704335732,0.025868520450047203,0.086045689273438,0.012081578960639258,0.02855334982866521,0.02477978957684075,0.003827875683853074,0.00662788402335288,0.9608502778487786,0.43261797421696696,0.01357021063998659,0.3479401831563362,0.13805926564951607,0.018000254239258866,3
0.015430794260774,0.07967871501967137,0.569714875051973,0.20438797972622116,0.0032457255808628223,0.2589429430517137,0.4811082706303666,0.5794523077796702,0.147009777237863,0.9838947959211704,0.450663151989458,0.21472543688576864,0.47678580690605726,0.4457770210329593,0.3469069711162279,5
0.010484067929355766,0.05033235603314226,0.536465909227347,0.2832828400280767,0.003189132863758973,0.3355119575548997,0.8667290921998211,0.3051493324629931,0.31125920308390737,0.9850800401585709,0.4432210610174037,0.15036442998523483,0.22456986064813217,0.5334259003907154,0.4966628085032085,4
0.043884000445839164,0.05504941059750815,0.09289900176097347,0.366059970039356,0.002973490085606865,0.04772325703939752,0.15292779706627888,0.05699042651019474,0.0039002131113036118,0.9685733143585357,0.4416192757839253,0.08985078534232611,0.3549603462741176,0.18239462880903032,0.08214035898261023,2
0.020556038970539,0.04965481815190988,0.24972285003664513,0.13381061448415302,0.00798090177917069,0.29284843451267956,0.2696611441338129,0.1730836667920674,0.00974287139900476,0.954373676155678,0.4813221644233202,0.020503041020818295,0.03812989165922993,0.2392355194947691,0.0755999983947644,3
