,EEG.O1__sum_values,EEG.O1__median,EEG.O1__mean,EEG.O1__length,EEG.O1__standard_deviation,EEG.O1__variance,EEG.O1__root_mean_square,EEG.O1__maximum,EEG.O1__minimum,Etiqueta
1284,-46.434404300000004,0.21655,-0.10388009910514542,447.0,4.899716312305442,24.007219941072037,4.900817382443681,13.565,-26.975,2.0
1285,157.609355,0.0492115,0.35497602477477475,444.0,8.976472440626823,80.57705747733289,8.983488490308082,61.766999999999996,-38.451,2.0
1286,13.629778900000016,0.025441000000000002,0.03069770022522526,444.0,4.762576974725166,22.682139440182308,4.762675906355735,13.624,-15.373,2.0
1287,-39.92113499999998,-0.15868,-0.08950927130044838,446.0,4.243754821421635,18.009454984339374,4.244698681177276,11.054,-17.938,2.0
1288,-267.32279400000004,-0.23250500000000002,-0.5993784618834082,446.0,13.485181479273848,181.8501195289504,13.498495252046432,62.602,-105.91,2.0
1289,-101.95328900000004,-0.29105499999999995,-0.22859481838565032,446.0,7.252359826599461,52.59672305447377,7.2559615934393245,20.998,-29.409000000000002,2.0
1290,-56.09874509999998,-0.140405,-0.12411226792035394,452.0,5.291105434166116,27.99579671546221,5.292560870742116,13.109000000000002,-22.851999999999997,2.0
1291,-24.958778300000006,-0.083991,-0.05583619306487697,447.0,6.001048080126566,36.012578059990744,6.001307835834346,18.797,-19.497,2.0
1292,-40.65788429999997,0.207565,-0.09075420602678565,448.0,5.427513013651475,29.457897513356112,5.428271717523697,15.027999999999999,-22.011999999999997,2.0
1293,40.65574330000001,-0.10822999999999999,0.0907494270089286,448.0,4.8600516267853004,23.620101815018447,4.860898813339041,22.359,-15.379000000000001,2.0
1294,-7.141340000000014,-0.207625,-0.015940491071428604,448.0,4.329798517110966,18.747155198776323,4.329827860092352,14.35,-13.359000000000002,2.0
1295,-123.36415199999996,-0.006523999999999999,-0.2741425599999999,450.0,7.376539473103711,54.41333459825717,7.381631848139038,25.893,-40.298,2.0
1296,-15.125610200000029,0.16205999999999998,-0.03399013528089894,445.0,4.909024371773538,24.098520282666577,4.909142044386472,13.107999999999999,-16.375,2.0
1297,-70.850752,-0.23126,-0.15885818834080717,446.0,5.894989914377987,34.75090609061819,5.897129981153638,16.342,-20.603,2.0
1298,-5.207854999999995,0.1908,-0.011598786191536738,449.0,4.834411336779,23.371532973177313,4.834425250742681,12.499,-12.727,2.0
1299,-11.92004460000002,0.0392595,-0.02660724241071433,448.0,4.58820033668645,21.05158232956965,4.5882774845162055,15.327,-16.861,2.0
1300,101.1107987,0.16114,0.2256937470982143,448.0,5.197050145067577,27.00933021034692,5.201948469355128,33.537,-16.444000000000003,2.0
1301,25.166709799999982,0.34894000000000003,0.056050578619153635,449.0,4.974755018967528,24.74818749874261,4.975070769959574,14.337,-16.562,2.0
1302,-45.77011659999995,0.171145,-0.10216543883928561,448.0,6.290104610374725,39.56541600945737,6.290934253856942,16.607,-20.092,2.0
1303,-18.404144999999982,-0.1539,-0.04117258389261741,447.0,4.098839354694689,16.80048405559397,4.099046137488375,13.184000000000001,-11.574000000000002,2.0
1304,37.43505818999999,-0.15037,0.08337429440979954,449.0,4.88638953259079,23.87680266421284,4.887100770107076,13.547,-12.495999999999999,2.0
1305,-91.55272945000002,0.20220000000000002,-0.20255028639380535,452.0,5.875268142490897,34.51877574616843,5.878758573430843,27.622,-37.571,2.0
1306,16.029589000000012,0.39769,0.03562130888888892,450.0,3.9754160603216167,15.803932852663044,3.9755756476653796,10.011000000000001,-11.620999999999999,2.0
1307,115.55379199999999,-0.082139,0.25850960178970916,447.0,7.968556219505464,63.49788822341922,7.972748298901496,51.761,-30.2,2.0
1308,40.73815610000002,-0.0382275,0.09052923577777781,450.0,4.6349693627738775,21.482940993852488,4.63585337736031,22.238000000000003,-12.962,2.0
1309,-33.47721080000001,-0.264575,-0.07506101076233186,446.0,4.932008794483293,24.324710748860547,4.932579944024953,12.123,-12.184000000000001,2.0
1310,187.5847176,0.19093,0.416854928,450.0,10.036855693565498,100.73847221345815,10.045508461220669,77.278,-46.256,2.0
1311,-28.375392000000012,-0.27513,-0.0636219551569507,446.0,5.238312421631403,27.43991702661786,5.23869876780445,17.158,-17.839000000000002,2.0
1312,-208.92425999999998,0.135825,-0.4663487946428571,448.0,11.046769118845791,122.03110796508501,11.056608393325227,47.681999999999995,-80.493,2.0
1313,-28.709052499999963,0.457745,-0.06408270647321421,448.0,6.714440016837021,45.08370473970234,6.714745812982892,15.788,-27.021,2.0
1314,-30.291673300000028,-0.10197950000000001,-0.06761534218750007,448.0,4.225809266415955,17.857463956126953,4.226350173687231,10.949000000000002,-16.545,2.0
1315,-17.46677600000001,-0.05810000000000044,-0.03898833928571431,448.0,3.7121318355548314,13.779922764539682,3.7123365762198803,13.079,-12.128,2.0
1316,203.667393,0.051422,0.4576795348314607,445.0,9.857433645182333,97.16899806917266,9.868052929822387,69.90100000000001,-32.593,2.0
1317,32.56079200000001,0.078569,0.07251846770601339,449.0,4.669522911710622,21.804444222990448,4.670085989695358,16.658,-16.507,2.0
1318,7.393788000000015,0.251,0.016467233853006715,449.0,4.240796668204067,17.984356381050716,4.24082863964597,12.273,-10.741,2.0
1319,27.720942000000026,0.0,0.06201553020134234,447.0,4.382412165615495,19.205536389334696,4.382850934645263,15.257,-13.829,2.0
1320,129.47409799999997,0.02466349999999911,0.2903006681614349,446.0,6.291985444697884,39.58908083629003,6.298678854666668,37.585,-29.584,2.0
1321,50.442823999999995,0.30946999999999997,0.11310050224215246,446.0,5.3259123236332115,28.36534207902811,5.327113083334681,16.496,-15.975999999999999,2.0
1322,-169.3299689,0.49646,-0.378814248098434,447.0,10.14863478280298,102.99478795471846,10.155702249932343,29.848000000000003,-62.43600000000001,2.0
1323,-51.00083400000001,-0.021664999999999997,-0.1138411473214286,448.0,5.068317064124358,25.687837862494145,5.06959541475625,13.937999999999999,-16.9,2.0
1324,-96.46667300000001,-0.11957999999999999,-0.21484782405345215,449.0,7.266835973646528,52.806905067883285,7.270011324295429,26.214000000000002,-38.438,2.0
1325,-78.41527489999999,-0.41761,-0.17348512146017697,452.0,5.033475250801719,25.335873100433428,5.036464056041846,26.346,-29.645,2.0
1326,133.61596700000004,0.510845,0.2969243711111112,450.0,8.781338540286683,77.11190655912425,8.786357074538001,43.861000000000004,-29.691999999999997,2.0
