EEG.O1,EEG.O2,MarkerValueInt
4143.077148,4159.615234,4.0
4143.333496,4152.820313,4.0
4141.153809,4150.769043,4.0
4148.461426,4151.025879,4.0
4153.205078,4152.820313,4.0
4145.128418,4149.358887,4.0
4137.563965,4138.205078,4.0
4137.692383,4136.538574,4.0
4138.333496,4140.641113,4.0
4138.205078,4137.436035,4.0
4137.820313,4134.230957,4.0
4141.794922,4136.538574,4.0
4154.102539,4146.922852,4.0
4153.846191,4157.563965,4.0
4144.487305,4153.461426,4.0
4149.487305,4147.307617,4.0
4152.94873,4154.743652,4.0
4143.077148,4154.871582,4.0
4133.077148,4139.487305,4.0
4127.307617,4133.461426,4.0
4128.974121,4137.563965,4.0
4136.794922,4136.666504,4.0
4136.794922,4134.102539,4.0
4132.94873,4138.589844,4.0
4137.94873,4143.333496,4.0
4138.974121,4141.922852,4.0
4136.666504,4140.0,4.0
4137.692383,4139.487305,4.0
4131.794922,4141.922852,4.0
4127.05127,4147.436035,4.0
4131.794922,4151.025879,4.0
4136.282227,4151.282227,4.0
4131.282227,4147.307617,4.0
4126.410156,4143.589844,4.0
4135.897461,4154.871582,4.0
4150.384766,4173.333496,4.0
4151.153809,4171.794922,4.0
4138.461426,4154.615234,4.0
4135.0,4147.820313,4.0
4147.563965,4159.230957,4.0
4156.153809,4171.666504,4.0
4149.230957,4168.205078,4.0
4139.871582,4158.077148,4.0
4137.692383,4149.615234,4.0
4134.871582,4142.820313,4.0
4136.538574,4146.410156,4.0
4144.487305,4157.692383,4.0
4142.563965,4156.666504,4.0
4140.641113,4150.769043,4.0
4153.333496,4162.05127,4.0
4157.307617,4170.512695,4.0
4141.666504,4158.717773,4.0
4135.384766,4150.769043,4.0
4141.666504,4158.717773,4.0
4143.846191,4169.487305,4.0
4142.692383,4167.436035,4.0
4141.794922,4156.794922,4.0
4144.615234,4154.743652,4.0
4153.589844,4167.692383,4.0
4158.846191,4173.333496,4.0
4153.077148,4165.128418,4.0
4152.563965,4166.538574,4.0
4157.179688,4168.461426,4.0
4157.05127,4160.769043,4.0
4155.256348,4157.563965,4.0
4152.307617,4161.282227,4.0
4150.256348,4160.641113,4.0
4150.769043,4156.666504,4.0
4152.05127,4155.512695,4.0
4150.641113,4156.282227,4.0
4154.230957,4162.436035,4.0
4163.589844,4169.102539,4.0
4169.487305,4171.282227,4.0
4171.282227,4172.563965,4.0
4167.307617,4171.666504,4.0
4161.666504,4170.897461,4.0
4158.205078,4171.025879,4.0
4155.512695,4165.384766,4.0
4152.179688,4154.230957,4.0
4151.025879,4153.974121,4.0
4151.410156,4163.461426,4.0
4152.563965,4169.102539,4.0
4157.563965,4169.487305,4.0
4159.102539,4168.717773,4.0
4162.436035,4169.487305,4.0
4166.922852,4171.153809,4.0
4161.794922,4169.358887,4.0
4157.94873,4169.487305,4.0
4158.461426,4171.153809,4.0
4155.512695,4170.641113,4.0
4159.102539,4177.563965,4.0
4167.307617,4184.871582,4.0
4160.769043,4177.436035,4.0
4155.256348,4168.333496,4.0
4158.461426,4168.846191,4.0
4155.0,4166.410156,4.0
4156.538574,4164.615234,4.0
4167.436035,4169.358887,4.0
4170.384766,4171.153809,4.0
4164.358887,4169.230957,4.0
4161.794922,4171.282227,4.0
4166.410156,4180.384766,4.0
4172.307617,4185.384766,4.0
4172.563965,4176.794922,4.0
4167.692383,4167.179688,4.0
4167.05127,4168.846191,4.0
4169.230957,4171.153809,4.0
4171.282227,4170.128418,4.0
4168.461426,4171.153809,4.0
4158.333496,4165.0,4.0
4151.282227,4155.769043,4.0
4152.05127,4153.333496,4.0
4152.692383,4152.692383,4.0
4147.94873,4150.384766,4.0
4147.436035,4155.384766,4.0
4153.205078,4168.589844,4.0
4156.153809,4169.871582,4.0
4156.282227,4159.487305,4.0
4156.410156,4156.922852,4.0
4159.102539,4168.205078,4.0
4163.333496,4177.05127,4.0
4162.179688,4173.333496,4.0
4154.487305,4166.282227,4.0
4151.410156,4168.333496,4.0
4156.410156,4173.205078,4.0
4161.410156,4172.307617,4.0
4166.410156,4176.794922,4.0
4171.282227,4186.538574,4.0
4171.282227,4182.820313,4.0
4169.230957,4176.153809,4.0
4169.358887,4180.897461,4.0
4171.794922,4186.025879,4.0
4172.05127,4183.974121,4.0
4168.589844,4182.820313,4.0
4166.538574,4183.589844,4.0
4167.307617,4184.102539,4.0
4169.358887,4186.025879,4.0
4171.922852,4187.94873,4.0
4173.205078,4187.05127,4.0
4171.538574,4184.487305,4.0
4169.487305,4183.846191,4.0
4171.410156,4186.153809,4.0
4175.128418,4187.307617,4.0
4175.0,4186.282227,4.0
4170.769043,4183.589844,4.0
4173.205078,4183.717773,4.0
4181.282227,4192.563965,4.0
4180.384766,4197.307617,4.0
4178.461426,4190.897461,4.0
4178.717773,4187.05127,4.0
4175.256348,4189.230957,4.0
4179.102539,4187.820313,4.0
4184.615234,4186.666504,4.0
4175.384766,4186.538574,4.0
4169.230957,4185.512695,4.0
4179.230957,4192.563965,4.0
4184.743652,4196.153809,4.0
4184.615234,4188.717773,4.0
4183.205078,4186.282227,4.0
4176.922852,4186.025879,4.0
4176.666504,4183.205078,4.0
4177.436035,4185.256348,4.0
4170.0,4186.025879,4.0
4171.282227,4182.436035,4.0
4181.666504,4185.641113,4.0
4182.436035,4187.94873,4.0
4181.410156,4185.641113,4.0
4189.743652,4190.0,4.0
4192.179688,4192.307617,4.0
4184.358887,4185.512695,4.0
4177.94873,4180.769043,4.0
4178.077148,4182.05127,4.0
4182.692383,4184.358887,4.0
4185.641113,4186.025879,4.0
4184.743652,4186.666504,4.0
4183.205078,4184.743652,4.0
4182.179688,4182.436035,4.0
4183.333496,4183.333496,4.0
4182.436035,4184.871582,4.0
4175.641113,4184.358887,4.0
4170.897461,4181.025879,4.0
4169.871582,4173.077148,4.0
4169.230957,4168.461426,4.0
4173.077148,4177.692383,4.0
4176.666504,4182.05127,4.0
4172.563965,4171.025879,4.0
4168.589844,4162.563965,4.0
4172.307617,4165.512695,4.0
4174.358887,4168.589844,4.0
4171.666504,4166.794922,4.0
4177.820313,4168.846191,4.0
4187.179688,4172.692383,4.0
4183.461426,4170.256348,4.0
4181.025879,4168.717773,4.0
4184.487305,4174.871582,4.0
4175.897461,4176.153809,4.0
4164.230957,4168.333496,4.0
4167.563965,4169.615234,4.0
4172.563965,4180.641113,4.0
4171.410156,4181.153809,4.0
4171.025879,4171.794922,4.0
4171.666504,4168.205078,4.0
4170.128418,4166.282227,4.0
4166.538574,4160.0,4.0
4167.05127,4156.666504,4.0
4166.410156,4155.384766,4.0
4158.717773,4153.461426,4.0
4154.615234,4155.256348,4.0
4154.230957,4155.512695,4.0
4153.589844,4158.333496,4.0
4157.820313,4166.538574,4.0
4162.820313,4171.025879,4.0
4159.871582,4170.128418,4.0
4154.871582,4164.615234,4.0
4154.102539,4159.871582,4.0
4157.05127,4162.307617,4.0
4159.743652,4163.461426,4.0
4155.897461,4153.077148,4.0
4153.205078,4149.743652,4.0
4155.384766,4160.384766,4.0
4159.871582,4168.589844,4.0
4163.717773,4168.077148,4.0
4159.615234,4160.256348,4.0
4154.230957,4157.692383,4.0
4157.563965,4165.641113,4.0
4158.846191,4166.922852,4.0
4159.230957,4159.230957,4.0
4162.179688,4157.307617,4.0
4156.666504,4158.205078,4.0
4154.871582,4153.461426,4.0
4165.512695,4150.769043,4.0
4173.077148,4152.820313,4.0
4177.94873,4153.589844,4.0
4184.102539,4151.282227,4.0
4185.256348,4153.077148,4.0
4186.538574,4160.512695,4.0
4188.077148,4156.538574,4.0
4182.692383,4142.820313,4.0
4180.641113,4141.153809,4.0
4183.589844,4151.922852,4.0
4184.358887,4158.974121,4.0
4186.410156,4158.077148,4.0
4188.717773,4155.256348,4.0
4188.589844,4156.025879,4.0
4187.94873,4157.94873,4.0
4186.025879,4155.0,4.0
4185.769043,4152.820313,4.0
4191.538574,4158.077148,4.0
4193.846191,4161.153809,4.0
4182.563965,4155.897461,4.0
4174.102539,4151.282227,4.0
4178.974121,4152.820313,4.0
4187.307617,4154.871582,4.0
4188.205078,4152.820313,4.0
4183.846191,4149.871582,4.0
4187.436035,4151.282227,4.0
4193.077148,4156.025879,4.0
4188.461426,4156.282227,4.0
4185.512695,4156.153809,4.0
4188.077148,4156.282227,4.0
4187.436035,4150.384766,4.0
4193.333496,4154.230957,4.0
4206.282227,4172.692383,4.0
4201.410156,4178.589844,4.0
4188.333496,4169.743652,4.0
4192.820313,4167.436035,4.0
4202.820313,4173.333496,4.0
4202.436035,4174.358887,4.0
4200.769043,4164.743652,4.0
4199.743652,4151.922852,4.0
4190.897461,4147.820313,4.0
4183.589844,4150.769043,4.0
4184.102539,4154.615234,4.0
