valorAbsMedio,LogDet,Varianza,frecMedia,Frecuencia_en_PSDMAX,FHist1,FHist2,FHist3,FHist5,FHist6,Decil 1,Decil 5,AH0,AH4,AH5,AH6,AH9,Etiqueta
0.02382296765916,0.111297908404464,0.000392236876496,0.651756289054619,0.102124183006536,0.038566454525471,0.434976039795064,0.578587335989681,0.368887839926172,0.002580953073949,0.970187332521763,0.164906429697208,0.140478576421762,0.523623613612869,0.39684858074599,0.227243009724723,0.091585347960654,2
0.026495867348786,0.115702331818949,0.000565104189226,0.453544027272335,0.126975169300226,0.27330902914714,0.448315497269469,0.284391491810872,0.297398397771805,0.035880515090601,0.862341907058941,0.161312082107336,0.00846384852754,0.004973007070267,0.076484942454514,0.183446449883692,0.017831455924245,1
0.012860063432984,0,0.00016494260707,0.682460652227656,0.268165893165893,0.138605894525955,0.301207560239636,0.448539195325099,0.596385383791948,0.177657128615612,0.979106009116745,0.119793655831267,0.066482197992465,0.530030629602563,0.454860390285913,0.317238094596338,0.058343263469219,5
0.042791513163097,0,0.002430049404811,0.121789386673152,0.137612075814323,0.618215879694179,0.407180893069852,0.200503017356727,0.065687800407637,0.035265260924369,0.976818559074372,0.131371790665024,0.138145151253212,0.48481455239946,0.52566192556777,0.399410456263056,0.244157224780452,2
0.021452584399078,0.112541274718922,0.000279361131222,0.529274273409722,0.240892066734763,0.08124098664698,0.495088041507889,0.477860842969044,0.295211817804069,0.21085123866217,0.985393567244149,0.140379660360511,0.116979573028122,0.532399322105991,0.220732544776563,0.086159851792598,0.067471882587285,4
0.062660432605436,0.20899138111493,0.002734622539679,0.296689398615662,0.02232345982346,0.55718598179346,0.246905439209179,0.370565674579923,0.136795551390484,0.077808774764773,0.965958287048134,0.143281334889701,0.055901243226412,0.19941087134384,0.36470992899737,0.44836297379004,0.203643972787219,4
0.018291040361556,0.09008056848452,0.000309579813772,0.533890986622377,0.255226817726818,0.254442025851726,0.24516219202176,0.625101630038012,0.187513037854497,0.130104815460526,0.934384603094887,0.131016632329763,0.126798929777917,0.25876816113169,0.182126927953659,0.07049023448531,0.02999256655311,3
0.009614814960385,0,0.000112483275663,0.57209842157819,0.071040381443066,0.003611446390044,0.499608628493151,0.4887042410342,0.364309748350006,0.067976726961107,0.941328191890457,0.142302975207501,0.282552888294801,0.230955401567697,0.147187148076109,0.052856190908658,0.016775145298175,3
0.014094277065962,0.081735622891701,0.000197219350954,0.60180117188993,0.114006886015915,0.094304162229673,0.410987040487028,0.565239961078638,0.223487061424675,0.012258893371253,0.94374628840287,0.191447152547296,0.240070022934801,0.275036206125752,0.26174422562427,0.142738874746145,0.055477292272871,3
0,0.038660829012339,1.59809391158713E-05,0.430389781471031,0.26301846805934,0.284150049711538,0.385091115565645,0.444571899881117,0.197537412848233,0.05353243124052,0.985834302323802,0.131419503719682,0.055441689511135,0.304639202668092,0.654100189022249,0.252094390282643,0.125374483177572,2
