,EEG.O1,EEG.O2,MarkerValueInt
0,-11.638,-19.617,4
1,-21.344,-31.662,4
2,-27.054,-33.864,4
3,-27.502,-29.668,4
4,-22.812,-23.339,4
5,-13.988,-15.144,4
6,-3.1011,-2.7291,4
7,5.9022,12.612,4
8,9.2595,23.649,4
9,8.0697,23.951,4
10,8.5586,16.02,4
11,14.653,9.2747,4
12,21.811,9.1993,4
13,22.018,11.66,4
14,14.346,9.8183,4
15,6.0565,3.476,4
16,2.3109,-2.1274,4
17,-0.29252,-4.8867,4
18,-6.9247,-8.0482,4
19,-15.388,-13.333,4
20,-18.874,-16.863,4
21,-15.957,-14.832,4
22,-12.144,-9.6935,4
23,-11.224,-6.6994,4
24,-10.538,-6.2212,4
25,-6.7699,-3.9293,4
26,-1.5362,1.89,4
27,2.2391,7.542,4
28,5.5331,9.2849,4
29,10.128,7.9305,4
30,13.215,6.6123,4
31,11.013,6.6845,4
32,6.5037,7.3619,4
33,6.7057,7.247,4
34,11.31,4.9768,4
35,11.156,0.45556,4
36,1.5731,-3.6592,4
37,-9.0895,-4.2337,4
38,-10.194,-2.3072,4
39,-3.5877,-2.217,4
40,0.023115,-4.6513,4
41,-2.7162,-4.5948,4
42,-4.1688,0.92291,4
43,0.56523,6.9278,4
44,5.0453,6.7531,4
45,1.4323,1.3394,4
46,-7.252,-3.0007,4
47,-11.449,-4.3473,4
48,-8.2496,-6.5002,4
49,-3.4255,-10.514,4
50,-1.5768,-11.433,4
51,-0.99979,-5.9875,4
52,0.80653,1.5655,4
53,2.5201,5.0699,4
54,2.5589,4.3889,4
55,2.9139,3.629,4
56,5.8809,4.1266,4
57,9.4892,3.9928,4
58,9.5527,3.2648,4
59,5.0415,4.2203,4
60,-1.1529,6.2186,4
61,-5.7804,5.2446,4
62,-7.2448,0.38958,4
63,-5.083,-3.5446,4
64,-0.21306,-2.7397,4
65,4.3943,-0.04282,4
66,5.7136,-0.20568,4
67,3.8725,-2.2853,4
68,1.7476,-1.6552,4
69,1.099,1.7784,4
70,0.78559,2.8486,4
71,-0.74107,-0.79034,4
72,-3.0289,-4.8425,4
73,-4.8682,-4.794,4
74,-6.4936,-2.2705,4
75,-8.7421,-1.8465,4
76,-10.582,-4.0593,4
77,-9.5312,-5.2252,4
78,-5.0971,-3.2789,4
79,-0.15509,-0.47373,4
80,2.4628,0.2639,4
81,3.7809,-0.49263,4
82,7.1959,0.59679,4
83,13.243,5.2472,4
84,17.816,10.664,4
85,16.505,11.723,4
86,9.4134,6.6344,4
87,0.60793,-0.23239,4
88,-6.015,-2.7964,4
89,-8.911,-0.38052,4
90,-7.9936,2.0198,4
91,-4.0081,1.073,4
92,0.52724,-0.62418,4
93,1.5714,0.18504,4
94,-3.1941,1.1914,4
95,-11.111,-2.1931,4
96,-15.858,-8.9863,4
97,-13.204,-13.044,4
98,-5.1981,-11.338,4
99,2.3396,-7.0979,4
100,6.2294,-3.6669,4
101,8.248,-0.041498,4
102,10.721,5.0629,4
103,12.118,8.966,4
104,9.2266,8.7128,4
105,2.6277,6.2259,4
106,-2.8111,5.4853,4
107,-3.3967,6.123,4
108,-0.52921,4.3271,4
109,1.701,-0.24594,4
110,1.1986,-3.1391,4
