,EEG.O1,EEG.O2,MarkerValueInt
0,-3.7281,4.7318,1
1,-5.5161,7.9845,1
2,-7.2149,8.4733,1
3,-10.384,6.3643,1
4,-12.116,3.6141,1
5,-9.6343,2.1227,1
6,-5.8912,2.0526,1
7,-5.1842,2.1474,1
8,-5.5358,0.58358,1
9,-1.6753,-4.366,1
10,5.3875,-12.354,1
11,8.5855,-19.153,1
12,5.734,-19.408,1
13,3.9543,-12.47,1
14,9.7846,-3.1884,1
15,19.183,4.2936,1
16,21.8,10.564,1
17,13.348,16.783,1
18,-0.17293,20.009,1
19,-10.223,16.667,1
20,-14.422,8.7705,1
21,-16.332,2.2535,1
22,-18.539,-0.41121,1
23,-18.448,-1.9766,1
24,-12.01,-4.765,1
25,-0.49084,-7.2903,1
26,8.9877,-7.637,1
27,10.87,-6.6011,1
28,7.2028,-5.4359,1
29,4.009,-3.3106,1
30,3.2605,0.32499,1
31,2.2243,2.9143,1
32,0.36858,1.649,1
33,1.6209,-1.6827,1
34,7.1811,-2.1995,1
35,10.679,1.1883,1
36,5.608,3.5257,1
37,-4.6712,0.25334,1
38,-10.189,-6.2543,1
39,-7.3473,-9.1952,1
40,-2.6922,-5.5872,1
41,-2.3399,0.62627,1
42,-3.7306,4.0854,1
43,-1.6909,4.3397,1
44,2.2738,5.1516,1
45,2.6251,8.6768,1
46,-0.73847,12.351,1
47,-2.0058,11.882,1
48,1.5222,6.135,1
49,5.4657,-1.6674,1
50,5.1813,-7.0824,1
51,2.2931,-8.1623,1
52,1.4564,-6.4145,1
53,3.055,-4.7722,1
54,2.5319,-4.6975,1
55,-3.2207,-5.0767,1
56,-11.101,-4.1012,1
57,-14.453,-2.0548,1
58,-9.9874,-1.0962,1
59,-1.2828,-1.6908,1
60,5.0578,-0.95212,1
61,6.2741,3.3133,1
62,5.2318,7.8824,1
63,5.3471,6.8582,1
64,6.1153,0.0087719,1
65,5.4224,-5.0174,1
66,4.0643,-1.5978,1
67,4.4283,6.7498,1
68,5.4228,9.8921,1
69,2.936,3.5644,1
70,-3.7162,-5.3088,1
71,-9.7631,-7.3827,1
72,-11.4,-2.2224,1
73,-10.414,2.2799,1
74,-9.2628,0.86359,1
75,-5.4951,-2.7356,1
76,3.4068,-2.2051,1
77,12.022,1.6803,1
78,11.338,2.1888,1
79,1.881,-2.8699,1
80,-4.8496,-6.7325,1
81,-1.412,-2.6309,1
82,5.4894,6.1982,1
83,5.2244,10.015,1
84,-1.6714,5.0163,1
85,-5.9509,-2.4629,1
86,-4.1274,-4.9628,1
87,-1.7145,-2.8417,1
88,-1.9764,-1.7618,1
89,-0.3617,-4.1596,1
90,6.2572,-6.6949,1
91,11.738,-5.4691,1
92,7.9848,-0.94995,1
93,-3.4543,3.0983,1
94,-12.728,4.3322,1
95,-13.154,4.358,1
96,-6.7453,6.1974,1
97,0.89551,9.684,1
98,6.5234,10.893,1
99,9.3313,7.1447,1
100,9.0225,0.96777,1
101,6.2456,-3.1554,1
102,3.2868,-4.8367,1
103,2.0373,-7.3267,1
104,1.2667,-11.32,1
105,-2.6084,-13.232,1
106,-10.874,-10.795,1
107,-18.88,-6.5249,1
108,-18.972,-3.3772,1
109,-8.7947,-0.39784,1
110,4.4809,4.1918,1
111,11.121,8.4904,1
112,9.8078,9.5963,1
113,8.0414,8.9633,1
114,10.726,10.431,1
115,13.054,13.357,1
116,8.24,12.355,1
117,-1.5065,4.8439,1
118,-7.3919,-5.0411,1
119,-6.0199,-11.662,1
120,-2.8498,-13.708,1
121,-3.0139,-12.83,1
122,-4.6327,-9.6651,1
123,-4.007,-4.4459,1
124,-2.3112,0.50837,1
125,-2.4337,2.6037,1
126,-2.6168,2.5756,1
127,0.89752,3.0314,1
128,6.3077,3.7562,1
129,7.5048,2.0324,1
130,3.2183,-1.9236,1
131,-1.1782,-3.7276,1
132,-2.7292,-0.90903,1
133,-5.3082,3.0259,1
134,-10.943,3.4651,1
135,-12.836,1.1925,1
136,-4.2338,0.52018,1
137,9.2234,2.5661,1
138,14.785,4.572,1
139,9.8637,5.3596,1
140,5.108,6.7198,1
141,7.8329,8.3108,1
142,11.11,5.8521,1
143,5.241,-2.6048,1
144,-6.6164,-11.912,1
145,-12.779,-15.246,1
146,-9.7478,-12.544,1
147,-5.5291,-9.4965,1
148,-6.2829,-8.7842,1
149,-8.1139,-6.7627,1
150,-5.0428,-0.10488,1
151,1.4408,8.0507,1
152,5.4021,11.659,1
153,4.9627,9.6815,1
154,3.1109,6.9858,1
155,2.3582,7.3442,1
156,2.7811,8.6308,1
157,3.9661,6.4948,1
158,4.987,0.64054,1
159,3.2362,-4.9871,1
160,-2.6958,-7.3039,1
161,-8.7828,-6.7019,1
162,-8.2485,-4.7163,1
163,-0.22955,-2.0391,1
164,7.3689,0.21088,1
165,6.591,0.13611,1
166,-0.64724,-1.947,1
167,-4.8016,-2.4717,1
168,-0.83723,0.59997,1
169,5.4248,3.6814,1
170,5.1307,1.8421,1
171,-1.8859,-3.6044,1
172,-6.9076,-5.9679,1
173,-3.8214,-2.1792,1
174,2.9023,3.1959,1
175,4.1388,4.6937,1
