,EEG.O1,EEG.O2,MarkerValueInt
0,37.583,22.335,3
1,64.772,42.038,3
2,72.171,50.055,3
3,57.571,39.866,3
4,30.384,19.188,3
5,5.2857,3.8257,3
6,-9.8018,0.03273,3
7,-17.388,-0.029053,3
8,-22.815,-4.8706,3
9,-26.961,-12.992,3
10,-27.608,-18.02,3
11,-24.229,-18.031,3
12,-18.51,-15.194,3
13,-12.076,-10.519,3
14,-6.2045,-4.4255,3
15,-2.1858,-0.17372,3
16,0.48842,-1.0153,3
17,4.8015,-4.1881,3
18,12.234,-2.9933,3
19,19.277,3.7411,3
20,21.111,8.857,3
21,17.986,6.5934,3
22,14.269,1.5761,3
23,11.475,3.0453,3
24,6.7066,11.227,3
25,-1.0607,15.459,3
26,-7.9089,8.089,3
27,-10.657,-4.7424,3
28,-11.452,-10.855,3
29,-13.04,-7.5539,3
30,-12.911,-3.043,3
31,-7.0866,-2.7268,3
32,2.0021,-1.6852,3
33,6.6645,5.2679,3
34,3.176,12.078,3
35,-4.1095,7.9353,3
36,-8.3126,-6.0241,3
37,-6.3934,-15.0,3
38,0.17874,-8.9366,3
39,7.3868,3.6024,3
40,10.467,6.2533,3
41,7.3644,-3.67,3
42,1.9052,-12.324,3
43,0.46745,-8.2731,3
44,3.9974,3.6281,3
45,6.5487,11.196,3
46,3.5893,11.217,3
47,-2.0267,9.4932,3
48,-5.4491,8.0414,3
49,-7.2545,1.7916,3
50,-10.347,-10.274,3
51,-12.257,-19.12,3
52,-7.6943,-16.478,3
53,1.3421,-6.6059,3
54,5.74,-0.26617,3
55,2.2131,0.5538,3
56,-0.98971,3.802,3
57,3.7121,12.604,3
58,11.351,17.962,3
59,12.155,11.569,3
60,7.2004,0.1077,3
61,6.6146,-1.7223,3
62,12.322,8.5863,3
63,12.876,16.556,3
64,0.15229,9.3789,3
65,-16.553,-6.9726,3
66,-20.991,-15.49,3
67,-11.134,-10.191,3
68,-1.672,-3.0576,3
69,-4.8312,-7.4598,3
70,-15.566,-20.563,3
71,-19.375,-27.045,3
72,-10.566,-18.005,3
73,2.5229,-0.7717,3
74,9.6147,11.041,3
75,10.405,12.953,3
76,11.523,11.507,3
77,14.689,12.602,3
78,13.567,13.258,3
79,4.1551,7.7895,3
80,-6.1785,-0.95209,3
81,-5.5889,-2.4809,3
82,6.6847,7.3132,3
83,17.309,17.893,3
84,14.184,15.28,3
85,0.59803,-0.072972,3
86,-10.242,-13.087,3
87,-11.633,-12.918,3
88,-8.2222,-5.3733,3
89,-5.9322,-2.7295,3
90,-4.9006,-7.3648,3
91,-4.1879,-12.057,3
92,-5.7221,-12.069,3
93,-8.8979,-8.5133,3
94,-7.6887,-2.1054,3
95,0.42975,6.9249,3
96,7.7364,13.019,3
97,6.0586,9.3814,3
98,-0.7202,-0.49512,3
99,-2.7775,-5.2585,3
100,0.31089,-2.1635,3
