,EEG.O1,EEG.O2,MarkerValueInt
217,-2.8033,0.35391,5
218,-2.1754,1.5833,5
219,-0.14281,2.9318,5
220,0.88943,2.7647,5
221,0.81493,1.3743,5
222,2.1109,1.0364,5
223,4.8783,2.0848,5
224,5.7549,1.9145,5
225,3.145,-0.9212,5
226,-0.031776,-3.8539,5
227,-0.78787,-3.3789,5
228,-0.1793,0.18761,5
229,-0.42126,3.1305,5
230,-0.52007,3.4079,5
231,1.7392,3.1301,5
232,4.8696,4.7326,5
233,4.618,6.3683,5
234,-0.013838,3.8164,5
235,-4.8846,-3.0717,5
236,-5.8657,-8.8058,5
237,-3.4915,-8.6526,5
238,-1.1803,-4.3231,5
239,-0.78654,-1.0331,5
240,-1.632,-0.64317,5
241,-2.5813,-0.69834,5
242,-3.0564,0.65699,5
243,-2.5177,2.311,5
244,-0.74589,2.9695,5
245,1.3005,3.0305,5
246,2.2265,2.5904,5
247,1.9915,0.46374,5
248,1.9435,-3.0766,5
249,2.8598,-4.9932,5
250,3.8646,-3.2103,5
251,3.7049,0.11043,5
252,2.4711,1.5594,5
253,1.4728,1.3967,5
254,1.5294,2.4289,5
255,1.8091,4.64,5
256,0.7743,4.6773,5
257,-1.5945,1.5131,5
258,-3.1673,-0.9918,5
259,-2.2202,0.41755,5
260,-0.32975,2.9892,5
261,-1.0044,1.6375,5
262,-4.7203,-3.136,5
263,-7.1518,-5.2046,5
264,-4.3651,-1.5535,5
265,1.1828,2.7113,5
266,2.7027,0.79393,5
267,-2.1664,-6.5741,5
268,-7.2757,-11.798,5
269,-5.0128,-9.7405,5
270,3.8181,-3.079,5
271,10.404,2.2509,5
272,8.8126,3.9776,5
273,3.2005,4.0803,5
274,1.527,4.6167,5
275,4.5284,5.6568,5
276,5.6468,6.7656,5
277,1.675,8.0206,5
278,-2.297,8.8698,5
279,-1.3719,7.5589,5
280,0.77199,2.9289,5
281,-2.4753,-3.6118,5
282,-9.3731,-8.7591,5
283,-11.069,-10.102,5
284,-4.3052,-7.951,5
285,3.5725,-4.4556,5
286,4.6839,-1.55,5
287,0.47866,-0.18422,5
288,-2.1798,-0.75315,5
289,-0.90492,-2.7392,5
290,0.93679,-3.9163,5
291,0.74122,-1.9297,5
292,-0.39049,2.2745,5
293,-0.87322,4.5178,5
294,-0.71003,2.6972,5
295,0.22485,0.18156,5
296,2.6339,1.1562,5
297,5.4597,4.1378,5
298,5.8535,4.1758,5
299,2.9572,1.0451,5
300,-0.36097,0.14844,5
301,-1.0885,3.7927,5
302,0.24065,6.7145,5
303,0.9191,3.7624,5
304,-0.34196,-2.1928,5
305,-2.77,-4.8418,5
306,-5.1002,-3.828,5
307,-5.9952,-3.6836,5
308,-4.1798,-5.1335,5
309,-0.28672,-4.2215,5
310,2.491,-0.30916,5
311,2.0073,1.7601,5
312,0.47228,-0.56983,5
313,1.2463,-3.4652,5
314,3.1321,-3.1088,5
315,1.8398,-1.0035,5
316,-2.5858,0.32065,5
317,-4.4429,1.8512,5
318,-0.47873,4.4214,5
319,4.8754,5.3089,5
320,5.6697,3.2235,5
321,2.4131,2.0963,5
322,-0.33509,4.2309,5
323,-1.6385,4.2634,5
324,-3.9721,-2.5153,5
325,-6.5101,-9.5164,5
326,-4.8969,-6.3954,5
327,1.1372,3.9595,5
328,5.5818,7.3344,5
329,4.3028,-0.66804,5
330,0.76885,-7.1432,5
331,0.008314,-1.8277,5
332,0.89522,6.3088,5
333,-0.55958,3.1611,5
334,-3.1609,-7.6337,5
335,-2.1239,-10.161,5
336,2.2314,-1.3682,5
337,4.1942,5.134,5
338,2.0599,2.1847,5
339,0.92954,-0.044642,5
340,3.2358,6.8003,5
341,3.3255,13.568,5
342,-3.1168,8.5001,5
343,-10.043,-3.118,5
344,-9.1352,-8.2166,5
345,-3.0466,-7.1091,5
346,-1.1846,-9.4496,5
347,-3.9549,-13.625,5
348,-2.2284,-8.3061,5
349,5.9759,5.2333,5
350,10.253,10.898,5
351,4.9401,3.0714,5
352,0.1142,-3.025,5
353,5.3071,4.245,5
354,11.424,13.28,5
355,3.5953,7.9852,5
356,-12.614,-5.1681,5
357,-15.623,-6.5807,5
358,-0.14396,5.4791,5
359,12.975,12.362,5
360,7.0557,4.0904,5
361,-6.5226,-7.3117,5
362,-8.1016,-9.3057,5
363,-0.16864,-7.0976,5
364,0.61244,-9.5882,5
365,-6.1237,-10.727,5
366,-4.4049,-0.75351,5
367,7.9382,12.186,5
368,11.94,10.305,5
369,-2.147,-5.6227,5
370,-16.64,-14.55,5
371,-11.705,-5.2624,5
372,5.4423,8.2074,5
373,12.664,9.0292,5
374,5.1724,1.4072,5
375,-1.8235,0.24386,5
376,0.85615,6.9003,5
377,5.0736,9.5987,5
378,2.341,3.7419,5
379,-2.6816,-2.1652,5
380,-2.2664,-1.512,5
381,1.2667,1.1189,5
382,1.0426,-0.56183,5
383,-2.1998,-4.4083,5
384,-2.3509,-4.8098,5
385,0.88362,-2.2742,5
386,1.7584,-1.7375,5
387,-1.057,-3.9559,5
388,-1.9634,-4.6897,5
389,1.6307,-2.1995,5
390,3.9729,-0.12689,5
391,-0.202,-1.1929,5
392,-6.8423,-2.4432,5
393,-8.1699,-0.17339,5
394,-3.6295,3.4774,5
395,0.84437,3.6553,5
396,2.3164,1.2197,5
397,2.9597,2.2893,5
398,3.6283,8.3161,5
399,2.4487,12.178,5
400,0.30507,7.3084,5
401,0.69257,-3.3717,5
402,2.8396,-11.098,5
403,2.0955,-10.651,5
404,-1.2698,-3.5855,5
405,-1.6447,3.8967,5
406,1.4251,4.376,5
407,1.6999,-3.2971,5
408,-1.5509,-7.8594,5
409,-1.0857,2.9489,5
410,3.1583,19.977,5
411,-0.081728,16.188,5
412,-12.616,-15.156,5
413,-15.882,-40.573,5
414,3.4442,-25.609,5
415,27.645,15.372,5
416,27.491,34.739,5
417,2.0439,14.656,5
418,-21.438,-13.36,5
419,-25.27,-16.651,5
420,-17.626,-1.0879,5
421,-9.4438,10.1,5
422,1.9603,12.204,5
423,17.292,13.684,5
424,23.164,12.414,5
425,10.479,0.76339,5
426,-7.7259,-14.072,5
427,-12.071,-16.439,5
428,-2.8165,-6.4125,5
429,4.0405,0.34746,5
430,1.5214,-3.0323,5
431,-1.8601,-6.4884,5
432,0.87792,-1.9109,5
433,5.1618,4.316,5
434,4.7998,3.7782,5
435,1.7546,-0.24285,5
436,0.98054,0.094288,5
437,2.086,3.7145,5
438,1.2985,3.5064,5
439,-2.1073,-0.94273,5
440,-5.6448,-2.4178,5
441,-7.5996,2.2107,5
442,-7.9028,6.7124,5
443,-6.5979,4.5384,5
444,-4.0462,-1.7321,5
445,-1.5774,-4.0512,5
446,-8.8818e-16,0.0,5
