,EEG.O1,EEG.O2,MarkerValueInt
0,-0.6636,-37.092,1
1,-3.4059,-61.526,1
2,-6.4544,-67.917,1
3,-6.2668,-59.039,1
4,-2.2941,-40.744,1
5,2.6508,-17.452,1
6,6.2894,7.2176,1
7,8.6657,28.021,1
8,9.908,39.889,1
9,8.958,42.596,1
10,5.8117,40.6,1
11,2.728,36.619,1
12,1.1516,28.08,1
13,-0.84999,12.708,1
14,-5.3495,-4.6696,1
15,-9.7482,-15.325,1
16,-8.8273,-16.593,1
17,-2.4206,-14.669,1
18,2.3841,-16.247,1
19,-0.54173,-20.667,1
20,-7.8114,-22.336,1
21,-9.8853,-18.418,1
22,-3.159,-11.55,1
23,4.9394,-6.2547,1
24,5.1552,-4.9085,1
25,-1.8078,-6.5264,1
26,-6.504,-7.6884,1
27,-3.2442,-5.0732,1
28,3.1003,1.6086,1
29,4.914,9.5965,1
30,2.7286,16.518,1
31,3.5437,22.217,1
32,9.3384,26.046,1
33,13.073,25.044,1
34,8.6421,18.064,1
35,0.35363,9.8488,1
36,-2.5066,6.3153,1
37,1.2682,5.9573,1
38,3.1012,1.1884,1
39,-2.9485,-10.124,1
40,-11.474,-19.816,1
41,-13.084,-19.996,1
42,-6.9007,-14.153,1
43,-0.60362,-11.792,1
44,0.59362,-14.339,1
45,-0.63232,-13.848,1
46,-0.31562,-6.4729,1
47,0.079776,0.44057,1
48,-2.7769,-0.78916,1
49,-6.907,-5.8927,1
50,-6.3272,-4.2623,1
51,0.63776,5.4974,1
52,8.3758,13.49,1
53,10.798,12.883,1
54,8.3134,8.7827,1
55,5.6767,8.8047,1
56,4.7612,11.103,1
57,3.0051,8.7666,1
58,-0.93554,2.5737,1
59,-3.8184,0.426,1
60,-2.505,3.9173,1
61,0.53437,4.6145,1
62,0.23344,-2.3498,1
63,-3.3533,-8.9575,1
64,-4.7515,-5.9163,1
65,-1.5197,1.7284,1
66,1.3835,0.54188,1
67,-1.1991,-10.821,1
68,-6.3033,-17.557,1
69,-6.4164,-8.773,1
70,-0.20801,6.6261,1
71,5.3293,10.965,1
72,4.396,0.235,1
73,-0.25823,-12.096,1
74,-1.9796,-12.708,1
75,0.75943,-2.9835,1
76,3.4021,5.856,1
77,2.2213,7.0766,1
78,-1.1354,4.0039,1
79,-2.4956,3.2831,1
80,-0.32461,6.5553,1
81,3.064,9.829,1
82,4.3277,9.0791,1
83,2.1511,4.4179,1
84,-1.9365,-1.1426,1
85,-4.9637,-5.0645,1
86,-4.885,-6.2676,1
87,-2.1114,-4.4189,1
88,1.1561,-0.54312,1
89,3.1058,2.4429,1
90,3.6677,2.4745,1
91,3.8117,1.3073,1
92,4.039,1.7072,1
93,3.8189,1.935,1
94,2.1742,-2.5125,1
95,-1.3616,-10.531,1
96,-5.9703,-14.144,1
97,-9.5071,-9.0016,1
98,-9.7294,-1.1814,1
99,-6.1195,1.8061,1
100,-0.52646,2.4235,1
101,4.1116,7.7722,1
102,5.7949,15.331,1
103,4.714,14.201,1
104,2.9583,2.2652,1
105,2.5953,-7.9434,1
106,3.4333,-6.12,1
107,3.1274,1.0462,1
108,0.22997,0.25731,1
109,-3.5223,-8.4464,1
110,-5.0868,-12.246,1
111,-3.68,-4.6864,1
112,-1.0711,5.8188,1
113,1.101,8.9269,1
114,2.4899,5.6168,1
115,2.8574,3.8192,1
116,1.9287,6.2856,1
117,0.6357,8.3199,1
118,0.37692,5.0698,1
119,0.62148,-3.1687,1
120,-0.5282,-11.603,1
121,-2.7605,-14.27,1
122,-3.1113,-8.6445,1
123,-0.45525,0.61694,1
124,2.0047,4.8141,1
125,0.84272,0.80998,1
126,-2.8558,-4.9385,1
127,-5.2469,-4.9545,1
128,-4.7465,-0.29025,1
129,-2.5647,2.998,1
130,0.70772,4.2055,1
131,5.574,8.0493,1
132,10.368,14.38,1
133,10.815,14.989,1
134,4.7968,4.2515,1
135,-4.0582,-11.588,1
136,-9.4208,-20.282,1
137,-8.4382,-16.687,1
138,-3.7619,-6.2518,1
139,0.17294,3.111,1
140,1.7071,8.3864,1
141,2.4991,10.505,1
142,4.1299,10.154,1
143,5.1459,6.9925,1
144,2.6186,1.4558,1
145,-3.0926,-4.5976,1
146,-6.9489,-8.7279,1
147,-4.8191,-9.0096,1
148,0.42183,-5.5528,1
149,1.8618,-1.4155,1
150,-1.7138,-0.061349,1
151,-3.2363,-0.78702,1
152,2.6089,1.0373,1
153,10.509,7.1524,1
154,10.829,12.234,1
155,2.8341,9.9288,1
156,-4.706,1.5631,1
157,-6.124,-5.3993,1
158,-5.2134,-7.161,1
159,-6.7057,-7.0917,1
160,-8.096,-8.4452,1
161,-4.8297,-8.5616,1
162,1.2609,-3.5105,1
163,4.787,4.8684,1
164,5.1126,10.526,1
165,5.6277,10.199,1
166,6.413,5.4758,1
167,4.0789,-0.88699,1
168,-1.2357,-6.9303,1
169,-4.7732,-9.9295,1
170,-4.1732,-6.8801,1
171,-2.3738,1.4999,1
172,-1.8228,9.4832,1
173,-0.52191,11.462,1
174,3.597,7.7653,1
175,8.0594,3.5049,1
176,8.6259,1.7237,1
177,4.4386,-0.12209,1
178,-1.7977,-5.464,1
179,-6.831,-12.094,1
180,-8.4836,-13.531,1
181,-6.5659,-7.5485,1
182,-3.9269,-0.19563,1
183,-4.2709,1.3607,1
184,-6.997,-1.9064,1
185,-6.612,-2.5426,1
186,0.26525,2.8702,1
187,9.4691,9.1907,1
188,13.824,10.224,1
189,11.523,6.7729,1
190,6.6468,3.8093,1
191,2.3968,2.3423,1
192,-2.04,-0.94282,1
193,-7.1876,-6.2542,1
194,-9.7755,-8.122,1
195,-6.3777,-2.7938,1
196,1.0818,5.2264,1
197,6.4432,7.8918,1
198,6.1361,3.5145,1
199,2.7589,-1.9873,1
200,0.79857,-3.7681,1
201,0.44178,-3.8091,1
202,-2.0176,-6.0498,1
203,-7.7397,-9.2244,1
204,-12.049,-8.3586,1
205,-9.5021,-2.1116,1
206,-0.89588,5.1529,1
207,7.2088,8.7613,1
208,9.7552,8.1883,1
209,7.7681,5.7468,1
210,5.3484,3.7695,1
211,4.3565,3.8059,1
212,3.3167,5.4658,1
213,0.11428,4.7227,1
214,-5.5058,-3.1039,1
215,-11.135,-15.862,1
216,-12.641,-23.057,1
217,-7.561,-16.293,1
218,1.1369,-0.25167,1
219,6.6081,11.366,1
220,5.6394,11.507,1
221,2.8396,6.9336,1
222,4.1665,7.4986,1
223,7.8003,12.394,1
224,6.4904,12.229,1
225,-0.6285,3.5143,1
226,-4.7329,-5.3196,1
227,0.45405,-5.3263,1
228,8.0464,0.0075688,1
229,6.0046,-0.98794,1
230,-6.2375,-11.77,1
231,-16.223,-21.523,1
232,-14.366,-18.197,1
233,-4.9801,-3.4681,1
234,1.476,9.656,1
235,1.8244,12.224,1
236,1.0252,7.5196,1
237,2.815,3.8626,1
238,5.2033,4.0363,1
239,5.016,4.4664,1
240,2.4283,2.09,1
241,-0.28576,-1.6865,1
242,-1.7734,-3.7854,1
243,-1.8412,-3.432,1
244,-0.2169,-1.9016,1
245,3.2385,0.32255,1
246,7.1196,3.8879,1
247,8.355,7.7774,1
248,4.7504,8.4435,1
249,-1.8985,3.7695,1
250,-6.5691,-3.2415,1
251,-6.4232,-7.3501,1
252,-4.3372,-7.3165,1
253,-4.6778,-6.322,1
254,-6.5526,-6.0458,1
255,-4.9774,-4.1775,1
256,1.0219,0.49123,1
257,5.8897,4.328,1
258,5.1522,3.6116,1
259,1.7144,0.46653,1
260,1.1895,-0.075444,1
261,3.5579,2.2512,1
262,3.5945,2.5302,1
263,-1.2615,-1.7604,1
264,-7.1631,-6.5138,1
265,-8.4452,-5.9316,1
266,-3.6161,0.63143,1
267,3.6469,8.3838,1
268,7.8439,12.148,1
269,6.016,10.221,1
270,0.45281,4.3791,1
271,-3.01,-2.0566,1
272,-1.0455,-6.0681,1
273,3.1279,-6.2765,1
274,3.8446,-3.5877,1
275,0.65938,-0.77707,1
276,-1.3956,-0.8119,1
277,0.16132,-4.353,1
278,1.1551,-8.3164,1
279,-2.4566,-7.9735,1
280,-7.1248,-1.8701,1
281,-5.8981,5.8089,1
282,1.1779,9.3763,1
283,6.2121,7.9989,1
284,3.9865,5.9292,1
285,-1.4516,5.9174,1
286,-3.3607,4.9251,1
287,-1.6592,-1.3346,1
288,-1.4763,-10.973,1
289,-4.3179,-16.341,1
290,-5.7652,-12.621,1
291,-2.5554,-3.462,1
292,2.4219,3.772,1
293,4.5639,6.5359,1
294,3.9675,8.0423,1
295,4.0832,10.446,1
296,5.6006,11.003,1
297,5.61,6.6353,1
298,2.9169,-0.76988,1
299,0.41012,-6.5326,1
300,0.57692,-8.7407,1
301,1.6555,-8.2505,1
302,0.71794,-4.6922,1
303,-1.6134,2.6371,1
304,-2.6864,9.6954,1
305,-2.7221,9.2659,1
306,-4.3755,0.62928,1
307,-7.3841,-6.9803,1
308,-7.6234,-5.4432,1
309,-3.1825,0.73537,1
310,1.6661,0.017829,1
311,1.2844,-10.032,1
312,-4.0219,-18.625,1
313,-7.9889,-15.107,1
314,-5.2769,-1.1048,1
315,3.1593,12.972,1
316,11.099,18.988,1
317,12.441,15.91,1
318,6.6025,8.1194,1
319,-0.19215,2.7431,1
320,-0.30485,4.756,1
321,6.9104,10.203,1
322,13.37,7.9668,1
323,11.083,-6.0508,1
324,1.4037,-19.928,1
325,-7.4063,-18.683,1
326,-10.557,-4.5544,1
327,-10.395,5.037,1
328,-9.8896,0.76515,1
329,-8.0431,-7.4557,1
330,-4.1917,-6.8155,1
331,-1.902,0.60712,1
332,-4.0856,4.2856,1
333,-7.2535,2.1586,1
334,-5.5936,0.69725,1
335,0.74797,1.8698,1
336,6.1909,1.2647,1
337,7.7836,-1.0286,1
338,7.985,1.6023,1
339,9.2207,10.417,1
340,10.267,16.163,1
341,9.2271,10.817,1
342,6.2142,-1.5981,1
343,1.6985,-11.057,1
344,-4.0963,-13.586,1
345,-8.5535,-11.855,1
346,-7.5834,-7.864,1
347,-1.9309,-1.8485,1
348,1.3998,3.3877,1
349,-1.9223,4.042,1
350,-6.4885,1.6251,1
351,-4.3783,1.8764,1
352,2.6973,6.1333,1
353,5.2048,9.1453,1
354,-0.34316,7.3989,1
355,-6.6473,3.9735,1
356,-7.1202,1.6354,1
357,-4.9819,-3.1861,1
358,-5.7014,-13.309,1
359,-6.1463,-21.647,1
360,0.73307,-17.632,1
361,12.762,-2.3994,1
362,18.744,10.691,1
363,13.046,12.861,1
364,2.8788,9.7625,1
365,-1.9649,10.428,1
366,-0.92473,13.18,1
367,-0.015271,9.4906,1
368,-1.7962,-2.0034,1
369,-3.5572,-13.07,1
370,-3.4177,-16.611,1
371,-2.7378,-13.282,1
372,-2.5382,-7.0075,1
373,-1.9252,0.22576,1
374,-0.87306,7.3058,1
375,-1.1427,12.125,1
376,-3.2949,13.012,1
377,-5.4359,9.5366,1
378,-5.9411,1.4499,1
379,-4.9826,-9.6302,1
380,-2.3856,-17.16,1
381,3.1675,-13.513,1
382,10.804,0.32042,1
383,15.659,12.843,1
384,13.315,13.532,1
385,5.2415,3.8508,1
386,-2.5201,-6.0505,1
387,-5.8169,-8.8374,1
388,-5.6706,-4.8042,1
389,-5.3908,1.7862,1
390,-6.4668,6.0629,1
391,-7.7873,3.7829,1
392,-7.3845,-4.8639,1
393,-4.1119,-12.099,1
394,1.5489,-8.6918,1
395,7.5409,4.4519,1
396,11.327,15.179,1
397,11.383,13.798,1
398,7.8349,4.5389,1
399,2.0863,-0.84088,1
400,-3.8216,1.3384,1
401,-7.9043,2.992,1
402,-9.0697,-3.285,1
403,-7.492,-13.309,1
404,-4.147,-16.458,1
405,-0.29889,-9.2061,1
406,2.5803,0.99385,1
407,3.3548,5.5658,1
408,2.4469,4.614,1
409,1.8423,4.5548,1
410,2.7809,8.3584,1
411,3.732,11.734,1
412,1.9686,9.0551,1
413,-2.583,0.23827,1
414,-6.3459,-9.4223,1
415,-5.8817,-14.469,1
416,-1.8563,-13.048,1
417,2.0667,-6.9915,1
418,3.8433,-0.0064738,1
419,4.7493,4.7351,1
420,6.0883,6.7221,1
421,6.2674,7.7625,1
422,2.936,8.7922,1
423,-2.9851,8.0688,1
424,-7.5387,4.1408,1
425,-7.9716,-0.61654,1
426,-5.0694,-2.5139,1
427,-1.1938,-2.4853,1
428,2.1007,-5.5035,1
429,3.8269,-12.288,1
430,2.9257,-15.634,1
431,-0.35538,-9.1378,1
432,-3.3559,2.8771,1
433,-3.1789,9.6221,1
434,-0.02384,7.7399,1
435,2.9777,5.1389,1
436,3.4196,8.8804,1
437,1.952,14.489,1
438,0.67542,12.009,1
439,0.43482,-0.044833,1
440,0.49209,-12.262,1
441,0.066516,-15.762,1
442,-0.78727,-11.409,1
443,-1.5568,-6.0973,1
444,-1.773,-3.5812,1
445,-1.1949,-2.2133,1
446,-1.1102e-16,0.0,1
