,EEG.O1,EEG.O2,MarkerValueInt
0,-57.161,-61.809,1
1,-93.401,-104.28,1
2,-100.07,-115.74,1
3,-83.073,-97.742,1
4,-55.102,-63.662,1
5,-26.222,-29.146,1
6,-0.44162,-1.8753,1
7,21.801,19.897,1
8,40.218,40.31,1
9,53.639,59.381,1
10,60.634,72.932,1
11,60.009,76.394,1
12,51.199,67.768,1
13,35.239,48.526,1
14,15.383,22.992,1
15,-4.0153,-3.4512,1
16,-19.538,-26.055,1
17,-29.713,-41.261,1
18,-34.92,-47.673,1
19,-37.146,-48.044,1
20,-38.612,-47.938,1
21,-38.742,-48.862,1
22,-33.435,-44.327,1
23,-20.339,-27.886,1
24,-4.691,-4.7892,1
25,4.2396,10.992,1
26,4.3771,13.799,1
27,4.5979,13.894,1
28,13.634,23.067,1
29,27.925,37.653,1
30,35.416,43.127,1
31,30.58,33.504,1
32,20.316,18.313,1
33,13.712,9.1324,1
34,10.983,6.094,1
35,6.2409,1.8964,1
36,-1.9736,-5.3443,1
37,-8.378,-9.724,1
38,-9.1968,-7.7944,1
39,-7.7199,-5.0181,1
40,-8.8938,-7.9898,1
41,-11.618,-13.558,1
42,-10.682,-12.072,1
43,-5.2379,-1.855,1
44,-0.64667,6.2519,1
45,-1.1642,2.5075,1
46,-5.138,-9.0838,1
47,-9.2595,-17.468,1
48,-13.065,-19.331,1
49,-15.886,-19.226,1
50,-13.686,-17.691,1
51,-4.3402,-9.557,1
52,6.6262,4.7852,1
53,11.718,16.144,1
54,11.57,18.553,1
55,12.953,16.881,1
56,17.148,17.655,1
57,17.676,19.03,1
58,11.201,15.82,1
59,3.4289,9.0138,1
60,0.37001,3.3802,1
61,-0.20481,-0.72851,1
62,-3.4054,-6.0521,1
63,-7.8192,-10.929,1
64,-7.7651,-10.285,1
65,-2.824,-4.1834,1
66,0.98885,0.71912,1
67,-0.40026,-0.18423,1
68,-4.361,-3.8701,1
69,-6.1468,-4.8169,1
70,-4.5886,-2.3037,1
71,-1.6761,0.079703,1
72,0.85621,0.13889,1
73,2.4863,-0.76918,1
74,2.7749,-1.0647,1
75,1.0563,-2.004,1
76,-2.8607,-6.0307,1
77,-8.0909,-12.599,1
78,-12.2,-16.855,1
79,-11.589,-13.383,1
80,-4.3846,-1.6627,1
81,5.9226,12.177,1
82,11.757,19.521,1
83,8.9157,16.236,1
84,2.149,6.6404,1
85,0.72148,0.54021,1
86,8.027,4.7846,1
87,17.602,16.122,1
88,20.007,22.693,1
89,11.94,14.578,1
90,-1.8364,-5.7457,1
91,-13.345,-24.081,1
92,-16.964,-27.032,1
93,-12.463,-14.314,1
94,-4.9067,1.7885,1
95,-0.74316,8.9407,1
96,-2.0146,5.7391,1
97,-4.7323,0.11956,1
98,-4.2571,-1.3461,1
99,-1.2218,-0.22675,1
100,0.090547,-2.047,1
101,-1.5408,-7.8343,1
102,-2.6252,-12.597,1
103,-0.89522,-12.004,1
104,0.66349,-7.6328,1
105,-1.3438,-3.858,1
106,-4.0366,-1.4126,1
107,-0.70587,3.1963,1
108,9.6885,11.958,1
109,19.074,21.209,1
110,18.531,24.307,1
111,8.3926,18.15,1
112,-2.1584,6.8198,1
113,-5.3562,-1.7332,1
114,-2.8663,-3.6829,1
115,-2.4374,-3.4596,1
116,-7.2696,-7.4554,1
117,-11.126,-13.744,1
118,-6.3482,-12.873,1
119,4.2051,-1.8572,1
120,7.7285,7.5209,1
121,-3.1745,1.3836,1
122,-18.829,-16.537,1
123,-21.462,-25.864,1
124,-5.853,-13.294,1
125,13.961,10.526,1
126,20.637,23.092,1
127,12.149,15.743,1
128,1.0798,1.1693,1
129,-1.6039,-3.9406,1
130,3.1384,2.8335,1
131,7.6767,11.098,1
132,7.5532,11.89,1
133,3.5351,5.228,1
134,-2.1957,-3.9731,1
135,-7.641,-11.287,1
136,-10.313,-13.732,1
137,-9.1926,-10.897,1
138,-7.2104,-7.0206,1
139,-7.6905,-6.9738,1
140,-7.8458,-7.6772,1
