Max,Min
368.4516263874735,2.8322730192333867
259.2322125445698,2.1594916768648167
245.9419053521016,2.198306743583712
254.2727859960798,1.843319820305872
310.4622905666202,2.2736367286869665
116734.83606915885,5.266751028483811
58.14086982450272,2.6207687657198817
24.71536507671861,0.4643056925356159
35.28648648648649,6.1195219123505975
27574159.78713417,610.2280512727878
2246.2213893532453,1.128946495228952
0.9929598128725464,0.1066370828769831
0.610694433500437,0.0039680457050947
0.1745034028760946,0.0012563097334485
0.1089114877095623,0.0005710875925486
0.1757562575739537,0.0005067936310663
0.1431395068054809,0.0003887600709185
0.1067582469161143,0.0001751674553604
0.0603951425767698,2.2440473428420848e-05
0.0696620461095303,7.663989329604062e-06
0.0476921790001782,1.7064385419242697e-06
-2.50353776129766,-139.99392290816425
-1.3719315684283238,-73.59254012633954
-0.8060073159962652,-38.857585952218415
-0.3444125458175243,-16.53784931237929
8.928382070873369,-7.266225813337442
32.04131929730415,0.290109235196767
60.054414519724645,0.7261379853282275
88.8063943804494,1.2841871871413124
157.8072372997965,2.3275734448316063
0.0158439596558295,3.457435901927837e-05
0.0366912749924473,0.0
0.0599989192916352,0.0
0.1106789014399464,0.0
0.1567951103732573,0.0
0.149109075551039,0.0001047954618764
0.1107144573735951,0.0
0.0645884953593663,0.0
0.0368929671466488,0.0
0.0141392953432131,3.25131627239801e-05
