EEG.O1,EEG.O2,MarkerValueInt
4309.487305,4373.333496,1.0
4311.922852,4362.563965,1.0
4311.955078,4362.419922,1.0
4311.987305,4362.275879,1.0
4312.019043,4362.131348,1.0
4312.05127,4361.987305,1.0
4312.083496,4361.842773,1.0
4312.115234,4361.69873,1.0
4312.147461,4361.554688,1.0
4312.179688,4361.410156,1.0
4312.563965,4353.974121,1.0
4315.128418,4360.384766,1.0
4311.922852,4366.282227,1.0
4307.436035,4353.333496,1.0
4307.820313,4340.641113,1.0
4307.179688,4341.922852,1.0
4301.153809,4342.820313,1.0
4294.743652,4338.846191,1.0
4283.333496,4328.717773,1.0
4258.974121,4308.333496,1.0
4242.05127,4290.128418,1.0
4255.897461,4296.922852,1.0
4271.282227,4316.025879,1.0
4261.410156,4310.641113,1.0
4248.077148,4295.769043,1.0
4246.410156,4301.794922,1.0
4249.743652,4307.820313,1.0
4255.641113,4301.794922,1.0
4262.820313,4307.563965,1.0
4263.974121,4322.436035,1.0
4262.94873,4325.641113,1.0
4262.307617,4322.179688,1.0
4260.384766,4320.512695,1.0
4266.153809,4321.410156,1.0
4290.512695,4331.282227,1.0
4329.743652,4354.871582,1.0
4353.205078,4377.179688,1.0
4341.922852,4383.077148,1.0
4322.94873,4382.94873,1.0
4311.666504,4374.487305,1.0
4295.128418,4344.743652,1.0
4286.666504,4329.743652,1.0
4307.94873,4356.153809,1.0
4330.128418,4375.384766,1.0
4324.871582,4357.820313,1.0
4326.282227,4355.384766,1.0
4353.461426,4391.153809,1.0
4361.282227,4407.94873,1.0
4339.871582,4392.94873,1.0
4331.666504,4383.846191,1.0
4342.179688,4383.974121,1.0
4356.282227,4390.897461,1.0
4364.102539,4398.717773,1.0
4346.538574,4382.820313,1.0
4325.0,4360.128418,1.0
4338.205078,4362.820313,1.0
4353.589844,4364.102539,1.0
4348.461426,4360.0,1.0
4356.922852,4379.230957,1.0
4373.589844,4394.615234,1.0
4376.922852,4394.487305,1.0
4381.794922,4408.205078,1.0
4403.589844,4434.230957,1.0
4425.256348,4450.769043,1.0
4432.94873,4460.384766,1.0
4428.717773,4462.179688,1.0
4425.897461,4451.153809,1.0
4432.307617,4443.974121,1.0
4436.410156,4450.384766,1.0
4439.743652,4456.794922,1.0
4440.641113,4452.179688,1.0
4435.641113,4445.0,1.0
4427.307617,4436.922852,1.0
4410.641113,4417.94873,1.0
4389.615234,4391.410156,1.0
4380.512695,4371.282227,1.0
4378.461426,4364.615234,1.0
4366.153809,4358.717773,1.0
4355.384766,4345.256348,1.0
4358.461426,4340.128418,1.0
4358.846191,4336.538574,1.0
4349.230957,4318.589844,1.0
4338.974121,4307.307617,1.0
4340.256348,4315.256348,1.0
4353.589844,4327.820313,1.0
4361.538574,4333.461426,1.0
4356.282227,4335.384766,1.0
4343.974121,4324.358887,1.0
4330.0,4302.179688,1.0
4313.077148,4283.205078,1.0
4292.692383,4264.102539,1.0
4277.05127,4250.256348,1.0
4272.820313,4248.846191,1.0
4288.333496,4262.94873,1.0
4297.05127,4272.820313,1.0
4266.025879,4248.717773,1.0
4243.205078,4226.410156,1.0
4254.230957,4244.230957,1.0
4238.717773,4240.897461,1.0
4212.820313,4205.769043,1.0
4231.922852,4208.461426,1.0
4254.230957,4228.461426,1.0
4252.05127,4226.922852,1.0
4252.820313,4228.974121,1.0
4251.282227,4230.0,1.0
4243.974121,4215.384766,1.0
4252.179688,4215.256348,1.0
4254.487305,4223.205078,1.0
4240.897461,4214.871582,1.0
4236.410156,4197.94873,1.0
4245.0,4198.589844,1.0
4249.102539,4219.743652,1.0
4240.641113,4214.871582,1.0
4244.230957,4195.769043,1.0
4260.512695,4203.205078,1.0
4262.692383,4205.641113,1.0
4248.077148,4183.717773,1.0
4229.487305,4166.410156,1.0
4221.538574,4158.205078,1.0
