,EEG.O1,EEG.O2,MarkerValueInt
0,2.4321,-3.1517,3
1,1.1916,-0.13365,3
2,-2.9079,5.8575,3
3,-6.7457,7.2028,3
4,-9.4793,2.9239,3
5,-11.815,-0.80575,3
6,-12.019,0.025036,3
7,-6.9207,2.5162,3
8,2.3156,1.7376,3
9,9.1909,-3.2907,3
10,8.9475,-9.2646,3
11,4.3877,-12.007,3
12,2.161,-9.8907,3
13,4.6963,-5.2697,3
14,8.3809,-2.0883,3
15,8.9678,-1.1049,3
16,6.0392,0.95494,3
17,1.8472,6.0416,3
18,-1.8674,10.979,3
19,-4.6417,11.753,3
20,-6.2512,9.4544,3
21,-6.473,8.139,3
22,-5.7295,8.0259,3
23,-5.0242,5.2912,3
24,-4.9481,-1.2265,3
25,-5.0337,-7.29,3
26,-4.2513,-8.5697,3
27,-2.1043,-5.706,3
28,0.77491,-2.693,3
29,3.1185,-2.436,3
30,4.1909,-4.9755,3
31,4.5243,-8.1475,3
32,5.4097,-9.0407,3
33,7.4647,-6.3457,3
34,9.5398,-1.749,3
35,9.1188,2.2947,3
36,4.299,5.583,3
37,-3.9574,8.7331,3
38,-11.43,9.7171,3
39,-13.337,5.7285,3
40,-8.4915,-1.1153,3
41,-0.8172,-4.2002,3
42,4.1062,-0.48832,3
43,4.2465,5.1534,3
44,2.1107,6.0763,3
45,0.56509,1.7089,3
46,-0.48126,-3.1376,3
47,-1.9578,-4.5849,3
48,-2.2441,-2.6533,3
49,0.84105,0.33482,3
50,5.0417,1.562,3
51,4.6592,-0.81783,3
52,-1.6796,-5.2872,3
53,-7.563,-6.9393,3
54,-6.3478,-2.6365,3
55,-0.028123,4.2726,3
56,3.5996,7.2105,3
57,1.742,4.3095,3
58,-0.40152,0.15559,3
59,1.5662,-0.95891,3
60,4.6661,-0.29936,3
61,4.1777,-1.2721,3
62,1.6825,-3.4309,3
63,1.9255,-3.3807,3
64,3.6851,-0.79356,3
65,0.72906,0.43885,3
66,-7.098,-1.7139,3
67,-10.662,-3.4998,3
68,-3.7573,-0.47356,3
69,6.3922,5.3578,3
70,7.3053,7.346,3
71,-2.1269,3.1304,3
72,-10.089,-2.049,3
73,-7.5696,-2.4465,3
74,0.72989,0.9924,3
75,4.2685,3.137,3
76,0.6263,2.0022,3
77,-3.1525,0.030808,3
78,-0.88311,-0.84636,3
79,5.8905,-1.4542,3
80,11.156,-2.3029,3
81,10.848,-2.0348,3
82,5.3228,-0.56827,3
83,-1.7397,-0.58928,3
84,-5.7963,-3.215,3
85,-4.9092,-4.5887,3
86,-1.9767,-0.5213,3
87,-1.9699,6.515,3
88,-5.9452,9.1637,3
89,-9.3834,4.4361,3
90,-7.6823,-2.6179,3
91,-1.6902,-6.0008,3
92,3.9281,-5.8891,3
93,6.4906,-5.7719,3
94,7.1609,-5.4934,3
95,7.5454,-1.8578,3
96,6.9018,4.5857,3
97,3.4406,8.3447,3
98,-2.9154,6.1364,3
99,-9.563,1.5175,3
100,-12.31,-0.18453,3
101,-7.9987,1.1073,3
102,2.0784,1.4627,3
103,11.273,-0.43281,3
104,12.478,-1.6342,3
105,5.447,0.15754,3
106,-2.3188,3.2362,3
107,-3.8237,4.2792,3
108,-0.55777,1.8767,3
109,0.24954,-2.9895,3
110,-4.1524,-7.8469,3
111,-8.1337,-9.3778,3
112,-5.6721,-5.6332,3
113,0.90449,0.81529,3
114,4.0373,3.9441,3
115,1.5798,0.66742,3
116,-0.68128,-4.9624,3
117,1.5677,-5.9924,3
118,4.2654,-0.37303,3
119,1.5913,7.2932,3
120,-3.979,11.257,3
121,-4.4661,9.798,3
122,1.4054,4.9696,3
123,5.5229,-0.3789,3
124,2.1872,-4.0605,3
125,-3.234,-4.6302,3
126,-2.1156,-2.1752,3
127,4.7475,0.84999,3
128,8.198,1.1009,3
129,3.2509,-2.3553,3
130,-5.0638,-6.692,3
131,-9.0795,-8.0257,3
132,-6.9666,-5.1569,3
133,-1.9944,0.059004,3
134,2.6853,5.3485,3
135,5.3826,9.3524,3
136,4.543,10.556,3
137,0.027471,7.5827,3
138,-4.7103,1.8839,3
139,-5.0865,-2.347,3
140,-0.95946,-3.318,3
141,2.6397,-4.4963,3
142,1.8369,-8.976,3
143,-0.94269,-13.039,3
144,-0.57352,-10.442,3
145,3.1444,-2.4318,3
146,4.9895,2.9767,3
147,2.0964,3.0099,3
148,-1.5878,4.2308,3
149,-1.3407,10.766,3
150,0.94582,15.66,3
151,-0.077604,11.034,3
152,-4.1995,1.3956,3
153,-5.3701,-2.5969,3
154,-1.0175,-0.62027,3
155,3.8324,-2.1106,3
156,4.0022,-9.2881,3
157,0.97763,-12.327,3
158,-0.97946,-5.1717,3
159,-1.3842,4.0888,3
160,-1.9562,5.1801,3
161,-1.769,0.067335,3
162,0.96731,-2.4669,3
163,4.2269,-0.81359,3
164,4.4032,-0.11765,3
165,2.193,-1.3958,3
166,1.1407,-0.71789,3
167,0.73471,1.5014,3
168,-3.3289,-0.2359,3
169,-10.78,-6.0516,3
170,-14.151,-7.7469,3
171,-7.7639,-0.56307,3
172,4.177,8.4321,3
173,12.046,9.5056,3
174,11.373,3.7587,3
175,5.8578,0.9074,3
176,1.221,5.2119,3
177,-0.64583,10.201,3
178,-1.3996,8.2994,3
179,-2.6611,0.32922,3
180,-3.7187,-7.1019,3
181,-2.2315,-10.03,3
182,2.6287,-9.7037,3
183,7.5759,-8.5106,3
184,7.3669,-6.4388,3
185,1.0482,-1.9665,3
186,-5.5422,4.5835,3
187,-6.1752,9.174,3
188,-2.31,6.8501,3
189,-1.2728,-1.9601,3
190,-5.9369,-9.3102,3
191,-10.272,-7.5836,3
192,-7.6487,0.43117,3
193,-0.22429,3.8701,3
194,4.1681,-2.0713,3
195,2.7947,-9.167,3
196,0.66534,-6.9276,3
197,2.2847,3.9382,3
198,5.9199,13.998,3
199,8.0578,17.721,3
200,8.8964,17.026,3
201,9.6682,14.003,3
202,7.9901,7.8867,3
203,1.1088,0.072789,3
204,-7.4999,-5.178,3
205,-10.205,-7.6033,3
206,-4.8639,-12.101,3
207,1.8199,-19.578,3
208,2.5515,-22.764,3
209,-2.1579,-16.203,3
210,-6.4274,-5.3822,3
211,-7.3427,0.53141,3
212,-7.1265,1.4903,3
213,-7.641,4.6407,3
214,-6.7308,11.337,3
215,-1.899,14.47,3
216,4.6417,10.027,3
217,7.5031,3.6973,3
218,4.7462,2.3007,3
219,0.81649,4.3841,3
220,1.5456,4.2849,3
221,7.1156,1.4946,3
222,11.686,0.19365,3
223,10.353,1.4569,3
224,4.9332,1.7768,3
225,1.1418,-0.58448,3
226,0.69088,-2.7398,3
227,-0.75623,-2.0909,3
228,-6.1179,-0.42415,3
229,-10.498,-1.0775,3
230,-7.0398,-4.4068,3
231,1.4482,-8.0244,3
232,3.2259,-9.9884,3
233,-6.7671,-10.041,3
234,-17.662,-8.6925,3
235,-15.444,-6.4985,3
236,-1.7227,-3.6618,3
237,8.5771,0.41854,3
238,7.7836,6.3297,3
239,4.2081,12.663,3
240,6.9719,16.033,3
241,11.438,14.245,3
242,7.8433,8.7012,3
243,-1.4963,2.8883,3
244,-4.4704,-0.54366,3
245,2.3396,-0.65495,3
246,8.0056,1.8117,3
247,3.1873,3.7259,3
248,-6.8141,0.99915,3
249,-10.626,-6.4197,3
250,-6.3774,-12.499,3
251,-1.4891,-11.696,3
252,-0.30256,-6.6432,3
253,0.19781,-4.7222,3
254,2.7622,-6.9029,3
255,5.2198,-5.8248,3
256,5.2349,2.5327,3
257,4.0126,10.941,3
258,2.4872,9.8618,3
259,-1.4906,0.69843,3
260,-8.4233,-6.0906,3
261,-13.152,-4.4923,3
262,-10.215,1.7721,3
263,-1.6389,7.0084,3
264,4.8735,9.6102,3
265,5.1499,8.8901,3
266,2.4078,3.0284,3
267,1.8056,-5.6861,3
268,4.2958,-9.289,3
269,6.6493,-3.6109,3
270,5.3191,4.3909,3
271,-0.23468,4.997,3
272,-6.1598,-1.0041,3
273,-6.3475,-4.2744,3
274,1.255,-1.1484,3
275,10.252,1.8671,3
276,11.181,-0.63231,3
277,2.5363,-4.6025,3
278,-6.9945,-3.7281,3
279,-9.3385,0.67197,3
280,-6.3845,2.7928,3
281,-4.9748,2.0136,3
282,-5.8863,2.7046,3
283,-3.7459,5.1884,3
284,2.8162,3.5544,3
285,7.5919,-5.3377,3
286,5.7429,-15.328,3
287,0.91886,-17.111,3
288,-0.87038,-8.9655,3
289,-0.58928,1.8774,3
290,-3.3732,8.0969,3
291,-8.0425,9.7247,3
292,-6.6408,11.766,3
293,3.5869,16.154,3
294,13.805,18.409,3
295,13.774,13.033,3
296,4.865,0.94071,3
297,-2.5147,-10.445,3
298,-2.8503,-14.772,3
299,-0.92009,-12.764,3
300,-2.7839,-9.6876,3
301,-7.1997,-8.4718,3
302,-8.941,-7.4812,3
303,-6.4407,-4.4294,3
304,-2.0941,0.16027,3
305,2.4275,4.0587,3
306,6.7243,5.8385,3
307,8.7744,5.1756,3
308,6.0482,2.3574,3
309,-0.11298,-0.9952,3
310,-4.8147,-2.0274,3
311,-5.1981,0.64324,3
312,-2.9234,4.9687,3
313,-0.42559,7.8259,3
314,2.171,8.559,3
315,4.9711,8.2171,3
316,6.0634,6.1118,3
317,3.7678,0.3175,3
318,-0.58935,-7.8144,3
319,-4.3511,-12.937,3
320,-6.6997,-11.7,3
321,-8.0201,-7.2606,3
322,-7.2898,-5.018,3
323,-2.9885,-5.242,3
324,3.3335,-3.3183,3
325,7.1365,2.8634,3
326,5.9445,9.3665,3
327,2.7139,11.366,3
328,2.2953,9.0023,3
329,5.0858,5.8665,3
330,6.2234,3.592,3
331,1.745,0.79954,3
332,-5.9853,-3.1994,3
333,-10.492,-6.4006,3
334,-8.2473,-6.4581,3
335,-1.9446,-3.5035,3
336,3.2296,-0.064801,3
337,4.9082,0.98831,3
338,4.4184,-1.427,3
