,EEG.O1,EEG.O2,MarkerValueInt
0,-7.2565,22.635,3
1,-9.3092,37.227,3
2,-7.9346,42.714,3
3,-6.9297,39.782,3
4,-4.5848,25.356,3
5,2.5388,0.61991,3
6,11.168,-20.794,3
7,13.888,-24.643,3
8,9.5537,-15.979,3
9,4.4786,-15.496,3
10,2.7133,-31.893,3
11,1.5174,-47.888,3
12,-1.7443,-41.319,3
13,-4.4012,-12.957,3
14,-3.6408,16.514,3
15,-1.9753,32.883,3
16,-3.0981,39.556,3
17,-5.579,42.389,3
18,-5.3365,37.366,3
19,-2.3774,20.993,3
20,-0.56746,3.0195,3
21,-1.653,-3.3557,3
22,-3.5574,-0.35529,3
23,-4.2022,-2.6243,3
24,-3.273,-15.1,3
25,-0.3835,-25.872,3
26,4.5304,-25.103,3
27,8.5434,-19.019,3
28,7.6498,-16.028,3
29,2.7977,-9.5469,3
30,0.08418,9.6608,3
31,2.5725,29.127,3
32,5.5532,23.565,3
33,3.4182,-6.9056,3
34,-1.7752,-27.632,3
35,-3.4387,-12.93,3
36,-0.68983,16.301,3
37,0.22186,19.507,3
38,-4.2617,-6.7043,3
39,-8.8145,-24.122,3
40,-6.1939,-7.4297,3
41,2.4304,22.16,3
42,8.2081,29.972,3
43,5.3432,14.298,3
44,-2.1393,0.25503,3
45,-5.6049,-0.52238,3
46,-1.9692,-0.67709,3
47,3.3567,-9.8867,3
48,3.5595,-18.48,3
49,-1.4431,-14.496,3
50,-5.5822,-1.9343,3
51,-4.7076,6.9431,3
52,-1.4448,7.8187,3
53,-0.54273,4.3809,3
54,-1.6039,-0.68956,3
55,0.051494,-6.1358,3
56,5.4861,-8.1142,3
57,9.2233,-4.1373,3
58,6.4586,1.2034,3
59,0.18127,1.579,3
60,-2.5996,-1.3017,3
61,-0.30916,0.026134,3
62,1.8394,6.8939,3
63,0.12834,11.492,3
64,-2.5232,7.6772,3
65,-1.8047,-0.32144,3
66,1.2057,-3.4703,3
67,2.006,0.51453,3
68,-0.58058,4.9077,3
69,-3.4148,2.9417,3
70,-4.1391,-3.9365,3
71,-3.6731,-8.4724,3
72,-3.2773,-7.0969,3
73,-2.3547,-4.235,3
74,-0.46191,-5.7432,3
75,0.9315,-10.108,3
76,0.50748,-9.5963,3
77,-0.51283,-0.44456,3
78,0.19933,11.335,3
79,2.9152,16.339,3
80,5.4544,12.015,3
81,5.6915,4.1231,3
82,3.5793,-0.84313,3
83,0.882,-1.6198,3
84,-0.48179,-0.25441,3
85,-0.026002,2.361,3
86,0.91963,6.0207,3
87,0.58244,7.5454,3
88,-1.2714,2.1094,3
89,-3.0298,-9.3494,3
90,-3.0706,-17.196,3
91,-1.5269,-12.622,3
92,-0.090638,0.087565,3
93,-0.44846,6.3641,3
94,-2.8991,-1.0989,3
95,-5.9197,-12.704,3
96,-7.0136,-14.369,3
97,-4.6428,-5.1566,3
98,0.41042,4.4731,3
99,5.8517,9.1366,3
100,9.7008,13.58,3
101,10.729,20.241,3
102,7.9745,21.937,3
103,1.7044,12.579,3
104,-5.0278,-2.0543,3
105,-7.9084,-11.368,3
106,-5.6152,-13.016,3
107,-1.2711,-11.79,3
108,1.3923,-9.4277,3
109,2.0549,-4.0313,3
110,2.6978,2.0824,3
111,3.7189,2.9085,3
112,3.2246,-1.8511,3
113,0.094006,-5.3674,3
114,-3.9001,-3.6471,3
115,-5.669,-0.4069,3
116,-4.0219,0.49282,3
117,-1.0877,1.1452,3
118,-0.37103,4.3682,3
119,-2.8256,7.8198,3
120,-5.176,7.9806,3
121,-3.56,5.6991,3
122,1.3315,2.9707,3
123,5.1206,-1.6074,3
124,6.111,-8.2261,3
125,7.2417,-10.461,3
126,9.7751,-2.568,3
127,9.1824,9.0795,3
128,1.7384,10.685,3
129,-7.659,-1.0195,3
130,-10.272,-13.357,3
131,-5.3905,-13.943,3
132,-1.2264,-5.4678,3
133,-2.9931,1.2822,3
134,-6.0857,3.4868,3
135,-3.8721,7.0782,3
136,2.7017,13.587,3
137,7.2634,15.373,3
138,6.4823,6.8962,3
139,2.4167,-5.4133,3
140,-1.4441,-9.7909,3
141,-2.8794,-3.434,3
142,-1.2542,4.4757,3
143,1.5293,3.9909,3
144,1.5848,-5.2052,3
145,-2.3915,-15.766,3
146,-6.2107,-21.181,3
147,-4.941,-18.947,3
148,0.4656,-8.1946,3
149,4.7288,9.5178,3
150,5.6096,26.111,3
151,5.5774,29.88,3
152,5.9938,17.213,3
153,4.2942,-1.2844,3
154,-1.1056,-10.851,3
155,-6.7949,-7.6197,3
156,-8.0996,-0.081627,3
157,-4.5745,3.0911,3
158,0.52331,1.8941,3
159,4.0466,1.0233,3
160,4.0173,1.4082,3
161,-0.37694,-1.0577,3
162,-6.4853,-9.1096,3
163,-8.2145,-18.635,3
164,-2.7025,-21.115,3
165,4.4043,-12.145,3
166,5.2546,3.3934,3
167,0.79296,16.178,3
168,-0.40114,21.3,3
169,4.6618,19.506,3
170,7.8995,11.524,3
171,1.9943,-2.1998,3
172,-7.539,-14.983,3
