0,0
0.12254,5.2177
-0.11543,4.2886
-0.96955,-1.1177
-2.2547,-4.7317
-3.1889,-4.272
-2.903,-2.6871
-1.27,-1.9735
0.88526,-0.50787
2.5567,2.6061
3.5024,4.5877
4.2578,2.6716
5.1868,-1.68
5.7668,-4.5202
4.9916,-3.9412
2.3188,-1.2495
-1.8568,0.9665
-6.2143,0.6671
-8.7032,-1.9328
-7.5464,-3.1571
-3.1401,1.1067
1.4138,9.089
3.0386,12.91
1.9403,8.1441
0.66057,0.55938
-0.092234,-1.8613
-2.264,-1.0482
-6.0688,-5.3355
-7.5564,-14.161
-3.3693,-15.854
3.7159,-4.6766
7.5068,8.5533
6.1787,10.32
3.7608,2.8044
3.5829,-1.0712
4.15,2.3795
3.0438,3.8373
1.2304,-2.1085
0.66878,-7.4997
0.34913,-3.766
-1.7998,4.53
-4.6102,6.7074
-4.8446,1.8693
-2.1186,-1.0611
0.50317,2.2225
0.76423,5.4229
-0.77376,1.849
-3.0439,-6.0054
-5.7106,-10.687
-7.3222,-9.2573
-5.296,-4.4856
0.40501,0.73121
5.781,5.6767
7.2108,9.3466
5.895,9.7377
5.4886,6.6351
6.2743,2.6094
4.7227,-0.14358
-0.72647,-2.3725
-6.2637,-5.647
-6.9668,-8.7282
-3.0032,-8.3164
0.61626,-3.8356
0.19478,0.60013
-2.6457,0.89857
-3.5674,-1.3529
-0.67572,-0.72542
3.8283,4.1806
6.2961,7.9065
4.9586,5.4382
1.012,-0.20632
-2.704,-1.623
-4.0321,2.6046
-2.9683,5.8609
-1.0641,3.0279
0.33671,-2.4263
0.8275,-4.1603
0.31336,-2.4594
-1.0763,-3.0169
-2.1929,-7.2267
-1.4297,-9.2212
1.0381,-4.3451
2.7702,3.6758
1.9168,7.3617
-0.49032,4.7976
-2.2153,0.59764
-2.4888,-1.173
-1.5102,-0.77849
1.1458,0.76164
5.126,4.3765
7.3457,9.2978
4.7547,10.222
-0.78966,3.0505
-3.726,-7.4881
-1.9772,-11.426
0.18364,-6.1347
-1.4782,-0.14067
-4.7274,-1.1713
-4.2753,-5.4967
-0.077006,-4.9655
2.1971,-0.64641
-0.51746,-0.63882
-4.0614,-5.1007
-3.111,-3.854
1.1994,7.4219
3.3056,17.911
1.3921,15.692
-0.52422,4.3237
1.0678,-3.3997
4.4477,-3.7793
5.8272,-3.85
4.4083,-6.4274
2.0293,-5.3003
-0.23711,1.8859
-2.4217,6.5199
-3.6942,1.3639
-2.945,-7.3785
-1.2669,-8.6136
-1.3852,-2.701
-4.0303,-0.21096
-6.6556,-5.3683
-6.3595,-9.531
-2.7142,-3.6399
2.5909,9.382
7.3185,18.792
9.422,18.42
7.9292,10.56
4.0777,0.37271
0.45562,-8.3819
-1.6678,-12.76
-3.0823,-10.96
