,RESULTS - WHITHOUT DATA AUGMENTATION,,,,,,,,,,,,,,RESULTS - WHIT DATA AUGMENTATION (0 - 0.5 - 5),,,,,,,,,,,,,
,XGBoost,,,,,,,,,,,,,,XGBoost,,,,,,,,,,,,,
,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,
1,0.844106464,0.517777778,0.490126749,1.319408286,0.020822334,55,58,58,56,0.486725664,0.486725664,0.49122807,,1,1,0.511111111,0.516529485,6.519775808,0.034496558,57,56,54,60,0.513513514,0.504424779,0.517241379,,
2,0.896070976,0.510376926,0.490493856,1.307959946,0.021047727,54,59,57,57,0.486486486,0.477876106,0.49137931,,2,1,0.507407407,0.505171703,6.59419361,0.034378219,57,55,57,57,0.5,0.508928571,0.508928571,,
3,0.864106212,0.509995084,0.502149868,1.298177445,0.021705651,64,49,64,50,0.5,0.566371681,0.505050505,,3,1,0.518829892,0.506608035,6.542794704,0.034240359,57,55,56,58,0.504424779,0.508928571,0.513274336,,
4,0.844259474,0.503150252,0.499536488,1.297424512,0.021479239,63,50,64,50,0.496062992,0.557522124,0.5,,4,1,0.510218098,0.494369397,6.588905892,0.034182529,57,56,59,55,0.49137931,0.504424779,0.495495495,,
5,0.870216228,0.509600247,0.510483305,1.298452067,0.021102198,63,50,61,53,0.508064516,0.557522124,0.514563107,,5,1,0.497134759,0.500380295,6.586710755,0.034532396,58,55,59,55,0.495726496,0.513274336,0.5,,
,MLP,,,,,,,,,,,,,,MLP,,,,,,,,,,,,,
,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,,accuracy_train,accuracy_valid,accuracy_test,timing_train,timing_classif,TP,FP,FN,TN,recall,precision,specificity,,
0,0.572243346,0.516,0.520264317,38.70650725,0.002344823,57,55,53,60,0.518181818,0.508928571,0.52173913,,0,0.695722433,0.510666667,0.514977974,99.84275556,0.001828742,62,50,59,54,0.512396694,0.553571429,0.519230769,,
1,0.541962129,0.505111111,0.514737422,38.22350719,0.002235281,50,62,47,66,0.515463918,0.446428571,0.515625,,1,0.693366123,0.505333333,0.498717057,99.15517045,0.001886928,56,56,57,56,0.495575221,0.5,0.5,,
2,0.530028465,0.500900033,0.508655357,37.96370844,0.002259,50,62,49,65,0.505050505,0.446428571,0.511811024,,2,0.693039238,0.4886588,0.498121313,98.79439709,0.001896167,57,55,59,55,0.49137931,0.508928571,0.5,,
3,0.522592304,0.499015733,0.506600688,37.58883907,0.002175158,50,62,50,64,0.5,0.446428571,0.507936508,,3,0.695276117,0.492821534,0.507215439,99.26315634,0.001948863,57,55,56,58,0.504424779,0.508928571,0.513274336,,
4,0.520831162,0.497186154,0.503795834,37.2961949,0.002129164,50,62,50,64,0.5,0.446428571,0.507936508,,4,0.693432099,0.488177932,0.505772351,99.34882207,0.001943626,57,55,56,57,0.504424779,0.508928571,0.508928571,,
5,0.517626597,0.497288021,0.505989282,37.22838054,0.002043994,52,61,51,63,0.504854369,0.460176991,0.508064516,,5,0.693441844,0.480236382,0.502056669,99.2851871,0.001872651,57,56,57,57,0.5,0.504424779,0.504424779,,
